[sound:k8-0801_伊佐木.mp3]	伊佐木 <br> いさき <br> chicken grunt (fish), threeline grunt
financing, loan	融資 <br> ゆうし <br> [sound:k8-0872_融資.mp3]
融資	[sound:k8-0872_融資.mp3] <br> ゆうし <br> financing, loan
[sound:s8-0872_彼はそのプロジェクトの課員です。.mp3]	<b>(課員)</b> <br> 彼はそのプロジェクトの課員です。<br> かれはそのプロジェクトのかいんです。 <br> He is a member of the project team.			
<b>(課員)</b> <br> 彼はそのプロジェクトの課員です。	[sound:s8-0872_彼はそのプロジェクトの課員です。.mp3] <br> かれはそのプロジェクトのかいんです。 <br> He is a member of the project team.			
[sound:k8-0873_金融機関.mp3]	金融機関 <br> きんゆうきかん <br> financial institutions, banking facilities
financial institutions, banking facilities	金融機関 <br> きんゆうきかん <br> [sound:k8-0873_金融機関.mp3]
金融機関	[sound:k8-0873_金融機関.mp3] <br> きんゆうきかん <br> financial institutions, banking facilities
[sound:s8-0873_彼は私の末の兄です。.mp3]	<b>(末)</b> <br> 彼は私の末の兄です。<br> かれはわたしのすえのあにです。 <br> He is my youngest brother.			
<b>(末)</b> <br> 彼は私の末の兄です。	[sound:s8-0873_彼は私の末の兄です。.mp3] <br> かれはわたしのすえのあにです。 <br> He is my youngest brother.			
[sound:k8-0874_金融市場.mp3]	金融市場 <br> きんゆうしじょう <br> money market, financial market
money market, financial market	金融市場 <br> きんゆうしじょう <br> [sound:k8-0874_金融市場.mp3]
金融市場	[sound:k8-0874_金融市場.mp3] <br> きんゆうしじょう <br> money market, financial market
[sound:s8-0874_今月末に彼女が戻ります。.mp3]	<b>(末)</b> <br> 今月末に彼女が戻ります。<br> こんげつまつにかのじょがもどります。 <br> She will return at the end of this month.			
<b>(末)</b> <br> 今月末に彼女が戻ります。	[sound:s8-0874_今月末に彼女が戻ります。.mp3] <br> こんげつまつにかのじょがもどります。 <br> She will return at the end of this month.			
[sound:k8-0875_融和.mp3]	融和 <br> ゆうわ <br> harmony, reconciliation
harmony, reconciliation	融和 <br> ゆうわ <br> [sound:k8-0875_融和.mp3]
融和	[sound:k8-0875_融和.mp3] <br> ゆうわ <br> harmony, reconciliation
[sound:s8-0875_年末には大掃除をします。.mp3]	<b>(年末)</b> <br> 年末には大掃除をします。<br> ねんまつにはおおそうじをします。 <br> We do a big cleaning at the end of the year.			
<b>(年末)</b> <br> 年末には大掃除をします。	[sound:s8-0875_年末には大掃除をします。.mp3] <br> ねんまつにはおおそうじをします。 <br> We do a big cleaning at the end of the year.			
[sound:k8-0876_住宅金融公庫.mp3]	住宅金融公庫 <br> じゅうたくきんゆうこうこ <br> Government Housing Loan Corporation
Government Housing Loan Corporation	住宅金融公庫 <br> じゅうたくきんゆうこうこ <br> [sound:k8-0876_住宅金融公庫.mp3]
住宅金融公庫	[sound:k8-0876_住宅金融公庫.mp3] <br> じゅうたくきんゆうこうこ <br> Government Housing Loan Corporation
[sound:s8-0876_彼は週末に友達と遊びに行く。.mp3]	<b>(週末)</b> <br> 彼は週末に友達と遊びに行く。<br> かれはしゅうまつにともだちとあそびにいく。 <br> He goes out with friends on the weekend.			
<b>(週末)</b> <br> 彼は週末に友達と遊びに行く。	[sound:s8-0876_彼は週末に友達と遊びに行く。.mp3] <br> かれはしゅうまつにともだちとあそびにいく。 <br> He goes out with friends on the weekend.			
[sound:k8-0877_財政投融資.mp3]	財政投融資 <br> ざいせいとうゆうし <br> Fiscal Investment and Loan Program, FILP
Fiscal Investment and Loan Program, FILP	財政投融資 <br> ざいせいとうゆうし <br> [sound:k8-0877_財政投融資.mp3]
財政投融資	[sound:k8-0877_財政投融資.mp3] <br> ざいせいとうゆうし <br> Fiscal Investment and Loan Program, FILP
[sound:s8-0877_彼は末期がんで闘っている。.mp3]	<b>(末期)</b> <br> 彼は末期がんで闘っている。<br> かれはまっきがんでたたかっている。 <br> He is battling terminal cancer.			
<b>(末期)</b> <br> 彼は末期がんで闘っている。	[sound:s8-0877_彼は末期がんで闘っている。.mp3] <br> かれはまっきがんでたたかっている。 <br> He is battling terminal cancer.			
[sound:k8-0878_融通.mp3]	融通 <br> ゆうずう, ゆうづう <br> lending (money), finance; adaptability, versatility, flexibility, accommodation
lending (money), finance; adaptability, versatility, flexibility, accommodation	融通 <br> ゆうずう, ゆうづう <br> [sound:k8-0878_融通.mp3]
融通	[sound:k8-0878_融通.mp3] <br> ゆうずう, ゆうづう <br> lending (money), finance; adaptability, versatility, flexibility, accommodation
[sound:s8-0878_端末が正常に動作していません。.mp3]	<b>(端末)</b> <br> 端末が正常に動作していません。<br> たんまつがせいじょうにどうさしていません。 <br> The terminal is not functioning properly.			
<b>(端末)</b> <br> 端末が正常に動作していません。	[sound:s8-0878_端末が正常に動作していません。.mp3] <br> たんまつがせいじょうにどうさしていません。 <br> The terminal is not functioning properly.			
[sound:k8-0879_融合.mp3]	融合 <br> ゆうごう <br> agglutination, adhesion, fusion, unite
agglutination, adhesion, fusion, unite	融合 <br> ゆうごう <br> [sound:k8-0879_融合.mp3]
融合	[sound:k8-0879_融合.mp3] <br> ゆうごう <br> agglutination, adhesion, fusion, unite
[sound:s8-0879_彼は末端の部署で働いています。.mp3]	<b>(末端)</b> <br> 彼は末端の部署で働いています。<br> かれはすえたんのぶしょではたらいています。 <br> He works in the lower department.			
<b>(末端)</b> <br> 彼は末端の部署で働いています。	[sound:s8-0879_彼は末端の部署で働いています。.mp3] <br> かれはすえたんのぶしょではたらいています。 <br> He works in the lower department.			
[sound:k8-0880_核融合.mp3]	核融合 <br> かくゆうごう <br> nuclear fusion
nuclear fusion	核融合 <br> かくゆうごう <br> [sound:k8-0880_核融合.mp3]
核融合	[sound:k8-0880_核融合.mp3] <br> かくゆうごう <br> nuclear fusion
[sound:s8-0880_世紀末には科学技術が大きく進歩した。.mp3]	<b>(世紀末)</b> <br> 世紀末には科学技術が大きく進歩した。<br> せいきまつにはかがくぎじゅつがおおきくしんぽした。 <br> There was significant progress in science and technology at the end of the century.			
<b>(世紀末)</b> <br> 世紀末には科学技術が大きく進歩した。	[sound:s8-0880_世紀末には科学技術が大きく進歩した。.mp3] <br> せいきまつにはかがくぎじゅつがおおきくしんぽした。 <br> There was significant progress in science and technology at the end of the century.			
[sound:k8-0881_型.mp3]	型 <br> (kun: かた, -がた; on: ケイ) <br> mould, type, model
mould, type, model	型 <br> (kun: かた, -がた; on: ケイ) <br> [sound:k8-0881_型.mp3]
型	[sound:k8-0881_型.mp3] <br> (kun: かた, -がた; on: ケイ) <br> mould, type, model
[sound:s8-0881_幕末の日本は大きな変革の時期でした。.mp3]	<b>(幕末)</b> <br> 幕末の日本は大きな変革の時期でした。<br> ばくまつのにほんはおおきなへんかくのじきでした。 <br> Japan in the late Edo period was a time of great change.			
<b>(幕末)</b> <br> 幕末の日本は大きな変革の時期でした。	[sound:s8-0881_幕末の日本は大きな変革の時期でした。.mp3] <br> ばくまつのにほんはおおきなへんかくのじきでした。 <br> Japan in the late Edo period was a time of great change.			
[sound:k8-0882_型.mp3]	型 <br> かた, がた <br> model, type (e.g. of machine, goods, etc.); type, style, pattern; mold (mould), template, model; kata (standard form of a movement, posture, etc. in martial arts, sport, etc.); form (i.e. customary procedure); size (i.e. clothing, shoes); (taxonomical) form
model, type (e.g. of machine, goods, etc.); type, style, pattern; mold (mould), template, model; kata (standard form of a movement, posture, etc. in martial arts, sport, etc.); form (i.e. customary procedure); size (i.e. clothing, shoes); (taxonomical) form	型 <br> かた, がた <br> [sound:k8-0882_型.mp3]
型	[sound:k8-0882_型.mp3] <br> かた, がた <br> model, type (e.g. of machine, goods, etc.); type, style, pattern; mold (mould), template, model; kata (standard form of a movement, posture, etc. in martial arts, sport, etc.); form (i.e. customary procedure); size (i.e. clothing, shoes); (taxonomical) form
[sound:s8-0882_月末には給料が支払われます。.mp3]	<b>(月末)</b> <br> 月末には給料が支払われます。<br> げつまつにはきゅうりょうがしはらわれます。 <br> Salaries are paid at the end of the month.			
<b>(月末)</b> <br> 月末には給料が支払われます。	[sound:s8-0882_月末には給料が支払われます。.mp3] <br> げつまつにはきゅうりょうがしはらわれます。 <br> Salaries are paid at the end of the month.			
[sound:k8-0883_大型.mp3]	大型 <br> おおがた <br> large, large scale, big, jumbo
large, large scale, big, jumbo	大型 <br> おおがた <br> [sound:k8-0883_大型.mp3]
大型	[sound:k8-0883_大型.mp3] <br> おおがた <br> large, large scale, big, jumbo
[sound:s8-0883_私はその問題の始末をするつもりです。.mp3]	<b>(始末)</b> <br> 私はその問題の始末をするつもりです。<br> わたしはそのもんだいのしまつをするつもりです。 <br> I intend to deal with the problem.			
<b>(始末)</b> <br> 私はその問題の始末をするつもりです。	[sound:s8-0883_私はその問題の始末をするつもりです。.mp3] <br> わたしはそのもんだいのしまつをするつもりです。 <br> I intend to deal with the problem.			
[sound:k8-0884_小型.mp3]	小型 <br> こがた <br> small size, tiny
small size, tiny	小型 <br> こがた <br> [sound:k8-0884_小型.mp3]
小型	[sound:k8-0884_小型.mp3] <br> こがた <br> small size, tiny
[sound:s8-0884_彼は悪い習慣を守り続けています。.mp3]	<b>(守)</b> <br> 彼は悪い習慣を守り続けています。<br> かれはわるいしゅうかんをまもりつづけています。 <br> He continues to maintain bad habits.			
<b>(守)</b> <br> 彼は悪い習慣を守り続けています。	[sound:s8-0884_彼は悪い習慣を守り続けています。.mp3] <br> かれはわるいしゅうかんをまもりつづけています。 <br> He continues to maintain bad habits.			
[sound:k8-0885_新型.mp3]	新型 <br> しんがた <br> new style, new model
new style, new model	新型 <br> しんがた <br> [sound:k8-0885_新型.mp3]
新型	[sound:k8-0885_新型.mp3] <br> しんがた <br> new style, new model
[sound:s8-0885_守りを固めることが大切です。.mp3]	<b>(守り)</b> <br> 守りを固めることが大切です。<br> まもりをかためることがたいせつです。 <br> It is important to strengthen defenses.			
<b>(守り)</b> <br> 守りを固めることが大切です。	[sound:s8-0885_守りを固めることが大切です。.mp3] <br> まもりをかためることがたいせつです。 <br> It is important to strengthen defenses.			
[sound:k8-0886_典型.mp3]	典型 <br> てんけい <br> type, pattern, archetypal
type, pattern, archetypal	典型 <br> てんけい <br> [sound:k8-0886_典型.mp3]
典型	[sound:k8-0886_典型.mp3] <br> てんけい <br> type, pattern, archetypal
[sound:s8-0886_彼は保守的な考え方を持っています。.mp3]	<b>(保守)</b> <br> 彼は保守的な考え方を持っています。<br> かれはほしゅてきなかんがえかたをもっています。 <br> He has a conservative mindset.			
<b>(保守)</b> <br> 彼は保守的な考え方を持っています。	[sound:s8-0886_彼は保守的な考え方を持っています。.mp3] <br> かれはほしゅてきなかんがえかたをもっています。 <br> He has a conservative mindset.			
[sound:k8-0887_模型.mp3]	模型 <br> もけい <br> model, dummy, maquette
model, dummy, maquette	模型 <br> もけい <br> [sound:k8-0887_模型.mp3]
模型	[sound:k8-0887_模型.mp3] <br> もけい <br> model, dummy, maquette
[sound:s8-0887_家の守りは重要です。.mp3]	<b>(守り)</b> <br> 家の守りは重要です。<br> いえのまもりはじゅうようです。 <br> Home security is important.			
<b>(守り)</b> <br> 家の守りは重要です。	[sound:s8-0887_家の守りは重要です。.mp3] <br> いえのまもりはじゅうようです。 <br> Home security is important.			
[sound:k8-0888_典型的.mp3]	典型的 <br> てんけいてき <br> typical, prototypical, representative, stereotypical, model, ideal
typical, prototypical, representative, stereotypical, model, ideal	典型的 <br> てんけいてき <br> [sound:k8-0888_典型的.mp3]
典型的	[sound:k8-0888_典型的.mp3] <br> てんけいてき <br> typical, prototypical, representative, stereotypical, model, ideal
[sound:s8-0888_彼は国境を守る兵士です。.mp3]	<b>(守る)</b> <br> 彼は国境を守る兵士です。<br> かれはこっきょうをまもるへいしです。 <br> He is a soldier guarding the border.			
<b>(守る)</b> <br> 彼は国境を守る兵士です。	[sound:s8-0888_彼は国境を守る兵士です。.mp3] <br> かれはこっきょうをまもるへいしです。 <br> He is a soldier guarding the border.			
[sound:k8-0889_中型.mp3]	中型 <br> ちゅうがた <br> medium sized
medium sized	中型 <br> ちゅうがた <br> [sound:k8-0889_中型.mp3]
中型	[sound:k8-0889_中型.mp3] <br> ちゅうがた <br> medium sized
[sound:s8-0889_チームの守備が強力です。.mp3]	<b>(守備)</b> <br> チームの守備が強力です。<br> チームのしゅびがきょうりょくです。 <br> The team's defense is strong.			
<b>(守備)</b> <br> チームの守備が強力です。	[sound:s8-0889_チームの守備が強力です。.mp3] <br> チームのしゅびがきょうりょくです。 <br> The team's defense is strong.			
[sound:k8-0890_原型.mp3]	原型 <br> げんけい <br> prototype, model, pattern, archetypal
prototype, model, pattern, archetypal	原型 <br> げんけい <br> [sound:k8-0890_原型.mp3]
原型	[sound:k8-0890_原型.mp3] <br> げんけい <br> prototype, model, pattern, archetypal
[sound:s8-0890_社員は規則を順守する必要があります。.mp3]	<b>(順守)</b> <br> 社員は規則を順守する必要があります。<br> しゃいんはきそくをじゅんしゅするひつようがあります。 <br> Employees need to comply with the rules.			
<b>(順守)</b> <br> 社員は規則を順守する必要があります。	[sound:s8-0890_社員は規則を順守する必要があります。.mp3] <br> しゃいんはきそくをじゅんしゅするひつようがあります。 <br> Employees need to comply with the rules.			
[sound:k8-0891_血液型.mp3]	血液型 <br> けつえきがた <br> blood type
blood type	血液型 <br> けつえきがた <br> [sound:k8-0891_血液型.mp3]
血液型	[sound:k8-0891_血液型.mp3] <br> けつえきがた <br> blood type
[sound:s8-0891_保守党は選挙で勝利しました。.mp3]	<b>(保守党)</b> <br> 保守党は選挙で勝利しました。<br> ほしゅとうはせんきょでしょうりしました。 <br> The Conservative Party won the election.			
<b>(保守党)</b> <br> 保守党は選挙で勝利しました。	[sound:s8-0891_保守党は選挙で勝利しました。.mp3] <br> ほしゅとうはせんきょでしょうりしました。 <br> The Conservative Party won the election.			
[sound:k8-0892_白.mp3]	白 <br> (kun: しろ, しら-, しろ.い; on: ハク, ビャク) <br> white
white	白 <br> (kun: しろ, しら-, しろ.い; on: ハク, ビャク) <br> [sound:k8-0892_白.mp3]
白	[sound:k8-0892_白.mp3] <br> (kun: しろ, しら-, しろ.い; on: ハク, ビャク) <br> white
[sound:s8-0892_チームは攻守のバランスを保ちます。.mp3]	<b>(攻守)</b> <br> チームは攻守のバランスを保ちます。<br> チームはこうしゅのバランスをたもちます。 <br> The team maintains a balance of offense and defense.			
<b>(攻守)</b> <br> チームは攻守のバランスを保ちます。	[sound:s8-0892_チームは攻守のバランスを保ちます。.mp3] <br> チームはこうしゅのバランスをたもちます。 <br> The team maintains a balance of offense and defense.			
[sound:k8-0893_白.mp3]	白 <br> しろ <br> white; good guy, 'white hat'
white; good guy, 'white hat'	白 <br> しろ <br> [sound:k8-0893_白.mp3]
白	[sound:k8-0893_白.mp3] <br> しろ <br> white; good guy, 'white hat'
[sound:s8-0893_留守番電話にメッセージを残してください。.mp3]	<b>(留守)</b> <br> 留守番電話にメッセージを残してください。<br> るすばんでんわにメッセージをのこしてください。 <br> Please leave a message on the answering machine.			
<b>(留守)</b> <br> 留守番電話にメッセージを残してください。	[sound:s8-0893_留守番電話にメッセージを残してください。.mp3] <br> るすばんでんわにメッセージをのこしてください。 <br> Please leave a message on the answering machine.			
[sound:k8-0894_白書.mp3]	白書 <br> はくしょ <br> white paper
white paper	白書 <br> はくしょ <br> [sound:k8-0894_白書.mp3]
白書	[sound:k8-0894_白書.mp3] <br> はくしょ <br> white paper
[sound:s8-0894_留守番電話にメッセージを残してください。.mp3]	<b>(留守番)</b> <br> 留守番電話にメッセージを残してください。<br> るすばんでんわにメッセージをのこしてください。 <br> Please leave a message on the answering machine.			
<b>(留守番)</b> <br> 留守番電話にメッセージを残してください。	[sound:s8-0894_留守番電話にメッセージを残してください。.mp3] <br> るすばんでんわにメッセージをのこしてください。 <br> Please leave a message on the answering machine.			
[sound:k8-0895_白人.mp3]	白人 <br> はくじん <br> white person, Caucasian
white person, Caucasian	白人 <br> はくじん <br> [sound:k8-0895_白人.mp3]
白人	[sound:k8-0895_白人.mp3] <br> はくじん <br> white person, Caucasian
[sound:s8-0895_彼は若くして成功を収めた。.mp3]	<b>(若)</b> <br> 彼は若くして成功を収めた。<br> かれはわかくしてせいこうをおさめた。 <br> He achieved success at a young age.			
<b>(若)</b> <br> 彼は若くして成功を収めた。	[sound:s8-0895_彼は若くして成功を収めた。.mp3] <br> かれはわかくしてせいこうをおさめた。 <br> He achieved success at a young age.			
[sound:k8-0896_空白.mp3]	空白 <br> くうはく <br> blank space, vacuum, space, null (NUL)
blank space, vacuum, space, null (NUL)	空白 <br> くうはく <br> [sound:k8-0896_空白.mp3]
空白	[sound:k8-0896_空白.mp3] <br> くうはく <br> blank space, vacuum, space, null (NUL)
[sound:s8-0896_若者たちは将来を切望している。.mp3]	<b>(若者)</b> <br> 若者たちは将来を切望している。<br> わかものたちはしょうらいをせつぼうしている。 <br> Young people are longing for the future.			
<b>(若者)</b> <br> 若者たちは将来を切望している。	[sound:s8-0896_若者たちは将来を切望している。.mp3] <br> わかものたちはしょうらいをせつぼうしている。 <br> Young people are longing for the future.			
[sound:k8-0897_白紙.mp3]	白紙 <br> はくし <br> blank paper, white paper
blank paper, white paper	白紙 <br> はくし <br> [sound:k8-0897_白紙.mp3]
白紙	[sound:k8-0897_白紙.mp3] <br> はくし <br> blank paper, white paper
[sound:s8-0897_そのチームには若手選手が多い。.mp3]	<b>(若手)</b> <br> そのチームには若手選手が多い。<br> そのチームにはわかてせんしゅがおおい。 <br> There are many young players on the team.			
<b>(若手)</b> <br> そのチームには若手選手が多い。	[sound:s8-0897_そのチームには若手選手が多い。.mp3] <br> そのチームにはわかてせんしゅがおおい。 <br> There are many young players on the team.			
[sound:k8-0898_明白.mp3]	明白 <br> めいはく <br> obvious, clear, plain, evident, apparent, explicit, overt
obvious, clear, plain, evident, apparent, explicit, overt	明白 <br> めいはく <br> [sound:k8-0898_明白.mp3]
明白	[sound:k8-0898_明白.mp3] <br> めいはく <br> obvious, clear, plain, evident, apparent, explicit, overt
[sound:s8-0898_彼女の若さは魅力的です。.mp3]	<b>(若さ)</b> <br> 彼女の若さは魅力的です。<br> かのじょのわかさはみりょくてきです。 <br> Her youthfulness is attractive.			
<b>(若さ)</b> <br> 彼女の若さは魅力的です。	[sound:s8-0898_彼女の若さは魅力的です。.mp3] <br> かのじょのわかさはみりょくてきです。 <br> Her youthfulness is attractive.			
[sound:k8-0899_白血病.mp3]	白血病 <br> はっけつびょう <br> leukemia
leukemia	白血病 <br> はっけつびょう <br> [sound:k8-0899_白血病.mp3]
白血病	[sound:k8-0899_白血病.mp3] <br> はっけつびょう <br> leukemia
[sound:s8-0899_彼は若干の知識を持っています。.mp3]	<b>(若干)</b> <br> 彼は若干の知識を持っています。<br> かれはじゃっかんのちしきをもっています。 <br> He has some knowledge.			
<b>(若干)</b> <br> 彼は若干の知識を持っています。	[sound:s8-0899_彼は若干の知識を持っています。.mp3] <br> かれはじゃっかんのちしきをもっています。 <br> He has some knowledge.			
[sound:k8-0900_自白.mp3]	自白 <br> じはく <br> confession, acknowledgement, acknowledgment
confession, acknowledgement, acknowledgment	自白 <br> じはく <br> [sound:k8-0900_自白.mp3]
自白	[sound:k8-0900_自白.mp3] <br> じはく <br> confession, acknowledgement, acknowledgment
[sound:s8-0900_その薬は若返りの効果があると言われています。.mp3]	<b>(若返り)</b> <br> その薬は若返りの効果があると言われています。<br> そのくすりはわかがえりのこうかがあるといわれています。 <br> The medicine is said to have rejuvenating effects.			
<b>(若返り)</b> <br> その薬は若返りの効果があると言われています。	[sound:s8-0900_その薬は若返りの効果があると言われています。.mp3] <br> そのくすりはわかがえりのこうかがあるといわれています。 <br> The medicine is said to have rejuvenating effects.			
[sound:k8-0901_白い.mp3]	白い <br> しろい <br> white
white	白い <br> しろい <br> [sound:k8-0901_白い.mp3]
白い	[sound:k8-0901_白い.mp3] <br> しろい <br> white
[sound:s8-0901_彼は若年の頃に国を去りました。.mp3]	<b>(若年)</b> <br> 彼は若年の頃に国を去りました。<br> かれはじゃくねんのころにくにをさりました。 <br> He left the country at a young age.			
<b>(若年)</b> <br> 彼は若年の頃に国を去りました。	[sound:s8-0901_彼は若年の頃に国を去りました。.mp3] <br> かれはじゃくねんのころにくにをさりました。 <br> He left the country at a young age.			
[sound:k8-0902_面白.mp3]	面白 <br> おもしろ <br> amusing, interesting
amusing, interesting	面白 <br> おもしろ <br> [sound:k8-0902_面白.mp3]
面白	[sound:k8-0902_面白.mp3] <br> おもしろ <br> amusing, interesting
[sound:s8-0902_若松市は福岡県に位置しています。.mp3]	<b>(若松)</b> <br> 若松市は福岡県に位置しています。<br> わかまつしはふくおかけんにいちしています。 <br> Wakamatsu City is located in Fukuoka Prefecture.			
<b>(若松)</b> <br> 若松市は福岡県に位置しています。	[sound:s8-0902_若松市は福岡県に位置しています。.mp3] <br> わかまつしはふくおかけんにいちしています。 <br> Wakamatsu City is located in Fukuoka Prefecture.			
[sound:k8-0903_深.mp3]	深 <br> (kun: ふか.い, -ぶか.い, ふか.まる, ふか.める, み-; on: シン) <br> deep, heighten, intensify, strengthen
deep, heighten, intensify, strengthen	深 <br> (kun: ふか.い, -ぶか.い, ふか.まる, ふか.める, み-; on: シン) <br> [sound:k8-0903_深.mp3]
深	[sound:k8-0903_深.mp3] <br> (kun: ふか.い, -ぶか.い, ふか.まる, ふか.める, み-; on: シン) <br> deep, heighten, intensify, strengthen
[sound:s8-0903_若葉が木々に生い茂っている。.mp3]	<b>(若葉)</b> <br> 若葉が木々に生い茂っている。<br> わかばがきぎにおいしげっている。 <br> The trees are lush with fresh leaves.			
<b>(若葉)</b> <br> 若葉が木々に生い茂っている。	[sound:s8-0903_若葉が木々に生い茂っている。.mp3] <br> わかばがきぎにおいしげっている。 <br> The trees are lush with fresh leaves.			
[sound:k8-0904_深刻.mp3]	深刻 <br> しんこく <br> serious
serious	深刻 <br> しんこく <br> [sound:k8-0904_深刻.mp3]
深刻	[sound:k8-0904_深刻.mp3] <br> しんこく <br> serious
[sound:s8-0904_彼はまだ若いです。.mp3]	<b>(若い)</b> <br> 彼はまだ若いです。<br> かれはまだわかいです。 <br> He is still young.			
<b>(若い)</b> <br> 彼はまだ若いです。	[sound:s8-0904_彼はまだ若いです。.mp3] <br> かれはまだわかいです。 <br> He is still young.			
[sound:k8-0905_深夜.mp3]	深夜 <br> しんや <br> late at night
late at night	深夜 <br> しんや <br> [sound:k8-0905_深夜.mp3]
深夜	[sound:k8-0905_深夜.mp3] <br> しんや <br> late at night
[sound:s8-0905_この映画は老若男女問わず楽しめる。.mp3]	<b>(老若)</b> <br> この映画は老若男女問わず楽しめる。<br> このえいがはろうにゃくなんにょもんわずたのしめる。 <br> This movie can be enjoyed by people of all ages and genders.			
<b>(老若)</b> <br> この映画は老若男女問わず楽しめる。	[sound:s8-0905_この映画は老若男女問わず楽しめる。.mp3] <br> このえいがはろうにゃくなんにょもんわずたのしめる。 <br> This movie can be enjoyed by people of all ages and genders.			
[sound:k8-0906_深める.mp3]	深める <br> ふかめる <br> to deepen, to heighten, to intensify
to deepen, to heighten, to intensify	深める <br> ふかめる <br> [sound:k8-0906_深める.mp3]
深める	[sound:k8-0906_深める.mp3] <br> ふかめる <br> to deepen, to heighten, to intensify
[sound:s8-0906_脳は人体の中で最も重要な器官です。.mp3]	<b>(脳)</b> <br> 脳は人体の中で最も重要な器官です。<br> のうはじんたいのなかでもっともじゅうようなきかんです。 <br> The brain is the most important organ in the human body.			
<b>(脳)</b> <br> 脳は人体の中で最も重要な器官です。	[sound:s8-0906_脳は人体の中で最も重要な器官です。.mp3] <br> のうはじんたいのなかでもっともじゅうようなきかんです。 <br> The brain is the most important organ in the human body.			
[sound:k8-0907_深まる.mp3]	深まる <br> ふかまる <br> to deepen, to heighten, to intensify
to deepen, to heighten, to intensify	深まる <br> ふかまる <br> [sound:k8-0907_深まる.mp3]
深まる	[sound:k8-0907_深まる.mp3] <br> ふかまる <br> to deepen, to heighten, to intensify
[sound:s8-0907_脳の働きを理解するのは難しい。.mp3]	<b>(脳)</b> <br> 脳の働きを理解するのは難しい。<br> のうのはたらきをりかいするのはむずかしい。 <br> Understanding how the brain works is difficult.			
<b>(脳)</b> <br> 脳の働きを理解するのは難しい。	[sound:s8-0907_脳の働きを理解するのは難しい。.mp3] <br> のうのはたらきをりかいするのはむずかしい。 <br> Understanding how the brain works is difficult.			
[sound:k8-0908_深み.mp3]	深み <br> ふかみ <br> depth, deep place
depth, deep place	深み <br> ふかみ <br> [sound:k8-0908_深み.mp3]
深み	[sound:k8-0908_深み.mp3] <br> ふかみ <br> depth, deep place
[sound:s8-0908_首脳会議が開催されました。.mp3]	<b>(首脳)</b> <br> 首脳会議が開催されました。<br> しゅのうかいぎがかいさいされました。 <br> The summit conference was held.			
<b>(首脳)</b> <br> 首脳会議が開催されました。	[sound:s8-0908_首脳会議が開催されました。.mp3] <br> しゅのうかいぎがかいさいされました。 <br> The summit conference was held.			
[sound:k8-0909_水深.mp3]	水深 <br> すいしん <br> depth of water
depth of water	水深 <br> すいしん <br> [sound:k8-0909_水深.mp3]
水深	[sound:k8-0909_水深.mp3] <br> すいしん <br> depth of water
[sound:s8-0909_彼は脳死状態です。.mp3]	<b>(脳死)</b> <br> 彼は脳死状態です。<br> かれはのうしじょうたいです。 <br> He is in a brain-dead state.			
<b>(脳死)</b> <br> 彼は脳死状態です。	[sound:s8-0909_彼は脳死状態です。.mp3] <br> かれはのうしじょうたいです。 <br> He is in a brain-dead state.			
[sound:k8-0910_深刻化.mp3]	深刻化 <br> しんこくか <br> becoming more serious or severe (problem)
becoming more serious or severe (problem)	深刻化 <br> しんこくか <br> [sound:k8-0910_深刻化.mp3]
深刻化	[sound:k8-0910_深刻化.mp3] <br> しんこくか <br> becoming more serious or severe (problem)
[sound:s8-0910_頭脳明晰な人材を求めています。.mp3]	<b>(頭脳)</b> <br> 頭脳明晰な人材を求めています。<br> ずのうめいせきなじんざいをもとめています。 <br> We are looking for talented individuals with sharp minds.			
<b>(頭脳)</b> <br> 頭脳明晰な人材を求めています。	[sound:s8-0910_頭脳明晰な人材を求めています。.mp3] <br> ずのうめいせきなじんざいをもとめています。 <br> We are looking for talented individuals with sharp minds.			
[sound:k8-0911_深い.mp3]	深い <br> ふかい <br> deep, profound, thick, close
deep, profound, thick, close	深い <br> ふかい <br> [sound:k8-0911_深い.mp3]
深い	[sound:k8-0911_深い.mp3] <br> ふかい <br> deep, profound, thick, close
[sound:s8-0911_脳卒中は深刻な病気です。.mp3]	<b>(脳卒中)</b> <br> 脳卒中は深刻な病気です。<br> のうそっちゅうはしんこくなびょうきです。 <br> Stroke is a serious illness.			
<b>(脳卒中)</b> <br> 脳卒中は深刻な病気です。	[sound:s8-0911_脳卒中は深刻な病気です。.mp3] <br> のうそっちゅうはしんこくなびょうきです。 <br> Stroke is a serious illness.			
[sound:k8-0912_深山.mp3]	深山 <br> みやま, しんざん <br> mountain recess, deep in the mountains
mountain recess, deep in the mountains	深山 <br> みやま, しんざん <br> [sound:k8-0912_深山.mp3]
深山	[sound:k8-0912_深山.mp3] <br> みやま, しんざん <br> mountain recess, deep in the mountains
[sound:s8-0912_彼女の笑顔がいつも脳裏に浮かんでくる。.mp3]	<b>(脳裏)</b> <br> 彼女の笑顔がいつも脳裏に浮かんでくる。<br> かのじょのえがおがいつものうりにうかんでくる。 <br> Her smile always comes to mind.			
<b>(脳裏)</b> <br> 彼女の笑顔がいつも脳裏に浮かんでくる。	[sound:s8-0912_彼女の笑顔がいつも脳裏に浮かんでくる。.mp3] <br> かのじょのえがおがいつものうりにうかんでくる。 <br> Her smile always comes to mind.			
[sound:k8-0913_深海.mp3]	深海 <br> しんかい <br> deep sea, depths of the sea, ocean depths
