[sound:k8-5601_会館.mp3]	会館 <br> かいかん <br> meeting hall, assembly hall
<b>(超)</b> <br> 彼の力は超人的です。	[sound:s8-5664_彼の力は超人的です。.mp3] <br> かれのちからはちょうじんてきです。 <br> His strength is superhuman.			
[sound:k8-5665_秒読み.mp3]	秒読み <br> びょうよみ <br> countdown
countdown	秒読み <br> びょうよみ <br> [sound:k8-5665_秒読み.mp3]
秒読み	[sound:k8-5665_秒読み.mp3] <br> びょうよみ <br> countdown
[sound:s8-5665_その委員会は超党派の協力を呼びかけた。.mp3]	<b>(超党派)</b> <br> その委員会は超党派の協力を呼びかけた。<br> そのいいんかいはちょうとうはのきょうりょくをよびかけた。 <br> The committee called for bipartisan cooperation.			
<b>(超党派)</b> <br> その委員会は超党派の協力を呼びかけた。	[sound:s8-5665_その委員会は超党派の協力を呼びかけた。.mp3] <br> そのいいんかいはちょうとうはのきょうりょくをよびかけた。 <br> The committee called for bipartisan cooperation.			
[sound:k8-5666_弁.mp3]	弁 <br> (kun: わきま.える, わ.ける, はなびら, あらそ.う; on: ベン, ヘン) <br> valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish
valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish	弁 <br> (kun: わきま.える, わ.ける, はなびら, あらそ.う; on: ベン, ヘン) <br> [sound:k8-5666_弁.mp3]
弁	[sound:k8-5666_弁.mp3] <br> (kun: わきま.える, わ.ける, はなびら, あらそ.う; on: ベン, ヘン) <br> valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish
[sound:s8-5666_超電導材料の研究が進んでいます。.mp3]	<b>(超電導)</b> <br> 超電導材料の研究が進んでいます。<br> ちょうでんどうざいりょうのけんきゅうがすすんでいます。 <br> Research on superconducting materials is progressing.			
<b>(超電導)</b> <br> 超電導材料の研究が進んでいます。	[sound:s8-5666_超電導材料の研究が進んでいます。.mp3] <br> ちょうでんどうざいりょうのけんきゅうがすすんでいます。 <br> Research on superconducting materials is progressing.			
[sound:k8-5667_弁.mp3]	弁 <br> べん <br> speech; dialect
speech; dialect	弁 <br> べん <br> [sound:k8-5667_弁.mp3]
弁	[sound:k8-5667_弁.mp3] <br> べん <br> speech; dialect
[sound:s8-5667_速度制限を超過していました。.mp3]	<b>(超過)</b> <br> 速度制限を超過していました。<br> そくどせいげんをちょうかしていました。 <br> They exceeded the speed limit.			
<b>(超過)</b> <br> 速度制限を超過していました。	[sound:s8-5667_速度制限を超過していました。.mp3] <br> そくどせいげんをちょうかしていました。 <br> They exceeded the speed limit.			
[sound:k8-5668_弁護士.mp3]	弁護士 <br> べんごし <br> lawyer, attorney
lawyer, attorney	弁護士 <br> べんごし <br> [sound:k8-5668_弁護士.mp3]
弁護士	[sound:k8-5668_弁護士.mp3] <br> べんごし <br> lawyer, attorney
[sound:s8-5668_超音波は医療分野で広く使用されています。.mp3]	<b>(超音波)</b> <br> 超音波は医療分野で広く使用されています。<br> ちょうおんぱはいりょうぶんやでひろくしようされています。 <br> Ultrasonic waves are widely used in the medical field.			
<b>(超音波)</b> <br> 超音波は医療分野で広く使用されています。	[sound:s8-5668_超音波は医療分野で広く使用されています。.mp3] <br> ちょうおんぱはいりょうぶんやでひろくしようされています。 <br> Ultrasonic waves are widely used in the medical field.			
[sound:k8-5669_答弁.mp3]	答弁 <br> とうべん <br> response, reply, answer, defence, defense
response, reply, answer, defence, defense	答弁 <br> とうべん <br> [sound:k8-5669_答弁.mp3]
答弁	[sound:k8-5669_答弁.mp3] <br> とうべん <br> response, reply, answer, defence, defense
[sound:s8-5669_彼はすべての困難を超えました。.mp3]	<b>(超す)</b> <br> 彼はすべての困難を超えました。<br> かれはすべてのこんなんをこえました。 <br> He overcame all difficulties.			
<b>(超す)</b> <br> 彼はすべての困難を超えました。	[sound:s8-5669_彼はすべての困難を超えました。.mp3] <br> かれはすべてのこんなんをこえました。 <br> He overcame all difficulties.			
[sound:k8-5670_合弁.mp3]	合弁 <br> ごうべん <br> joint management, pool
joint management, pool	合弁 <br> ごうべん <br> [sound:k8-5670_合弁.mp3]
合弁	[sound:k8-5670_合弁.mp3] <br> ごうべん <br> joint management, pool
[sound:s8-5670_彼は超能力を持っていると噂されています。.mp3]	<b>(超能力)</b> <br> 彼は超能力を持っていると噂されています。<br> かれはちょうのうりょくをもっているとうわさされています。 <br> He is rumored to have psychic powers.			
<b>(超能力)</b> <br> 彼は超能力を持っていると噂されています。	[sound:s8-5670_彼は超能力を持っていると噂されています。.mp3] <br> かれはちょうのうりょくをもっているとうわさされています。 <br> He is rumored to have psychic powers.			
[sound:k8-5671_弁護.mp3]	弁護 <br> べんご <br> defense, defence, pleading, advocacy
defense, defence, pleading, advocacy	弁護 <br> べんご <br> [sound:k8-5671_弁護.mp3]
弁護	[sound:k8-5671_弁護.mp3] <br> べんご <br> defense, defence, pleading, advocacy
[sound:s8-5671_出超が問題になりました。.mp3]	<b>(出超)</b> <br> 出超が問題になりました。<br> でちょうがもんだいになりました。 <br> Excessive spending became an issue.			
<b>(出超)</b> <br> 出超が問題になりました。	[sound:s8-5671_出超が問題になりました。.mp3] <br> でちょうがもんだいになりました。 <br> Excessive spending became an issue.			
[sound:k8-5672_弁当.mp3]	弁当 <br> べんとう <br> bento (Japanese box lunch)
bento (Japanese box lunch)	弁当 <br> べんとう <br> [sound:k8-5672_弁当.mp3]
弁当	[sound:k8-5672_弁当.mp3] <br> べんとう <br> bento (Japanese box lunch)
[sound:s8-5672_その飛行機は超音速で飛んでいる。.mp3]	<b>(超音速)</b> <br> その飛行機は超音速で飛んでいる。<br> そのひこうきはちょうおんそくでとんでいる。 <br> The airplane is flying at supersonic speed.			
<b>(超音速)</b> <br> その飛行機は超音速で飛んでいる。	[sound:s8-5672_その飛行機は超音速で飛んでいる。.mp3] <br> そのひこうきはちょうおんそくでとんでいる。 <br> The airplane is flying at supersonic speed.			
[sound:k8-5673_弁務官.mp3]	弁務官 <br> べんむかん <br> commissioner
commissioner	弁務官 <br> べんむかん <br> [sound:k8-5673_弁務官.mp3]
弁務官	[sound:k8-5673_弁務官.mp3] <br> べんむかん <br> commissioner
[sound:s8-5673_彼は超人的な力を持っています。.mp3]	<b>(超人)</b> <br> 彼は超人的な力を持っています。<br> かれはちょうじんてきなちからをもっています。 <br> He has superhuman strength.			
<b>(超人)</b> <br> 彼は超人的な力を持っています。	[sound:s8-5673_彼は超人的な力を持っています。.mp3] <br> かれはちょうじんてきなちからをもっています。 <br> He has superhuman strength.			
[sound:k8-5674_弁護人.mp3]	弁護人 <br> べんごにん <br> counsel, defender, advocate
counsel, defender, advocate	弁護人 <br> べんごにん <br> [sound:k8-5674_弁護人.mp3]
弁護人	[sound:k8-5674_弁護人.mp3] <br> べんごにん <br> counsel, defender, advocate
[sound:s8-5674_彼は予算を入超しました。.mp3]	<b>(入超)</b> <br> 彼は予算を入超しました。<br> かれはよさんをにゅうちょうしました。 <br> He exceeded the budget.			
<b>(入超)</b> <br> 彼は予算を入超しました。	[sound:s8-5674_彼は予算を入超しました。.mp3] <br> かれはよさんをにゅうちょうしました。 <br> He exceeded the budget.			
[sound:k8-5675_弁論.mp3]	弁論 <br> べんろん <br> discussion, debate, argument
discussion, debate, argument	弁論 <br> べんろん <br> [sound:k8-5675_弁論.mp3]
弁論	[sound:k8-5675_弁論.mp3] <br> べんろん <br> discussion, debate, argument
[sound:s8-5675_彼は自分の責任を認めました。.mp3]	<b>(責)</b> <br> 彼は自分の責任を認めました。<br> かれはじぶんのせきにんをみとめました。 <br> He acknowledged his responsibility.			
<b>(責)</b> <br> 彼は自分の責任を認めました。	[sound:s8-5675_彼は自分の責任を認めました。.mp3] <br> かれはじぶんのせきにんをみとめました。 <br> He acknowledged his responsibility.			
[sound:k8-5676_口頭弁論.mp3]	口頭弁論 <br> こうとうべんろん <br> oral proceedings, oral pleadings
oral proceedings, oral pleadings	口頭弁論 <br> こうとうべんろん <br> [sound:k8-5676_口頭弁論.mp3]
口頭弁論	[sound:k8-5676_口頭弁論.mp3] <br> こうとうべんろん <br> oral proceedings, oral pleadings
[sound:s8-5676_彼は仕事に対して責任を持っています。.mp3]	<b>(責任)</b> <br> 彼は仕事に対して責任を持っています。<br> かれはしごとにたいしてせきにんをもっています。 <br> He takes responsibility for his work.			
<b>(責任)</b> <br> 彼は仕事に対して責任を持っています。	[sound:s8-5676_彼は仕事に対して責任を持っています。.mp3] <br> かれはしごとにたいしてせきにんをもっています。 <br> He takes responsibility for his work.			
[sound:k8-5677_根.mp3]	根 <br> (kun: ね, -ね; on: コン) <br> root, radical, head (pimple)
root, radical, head (pimple)	根 <br> (kun: ね, -ね; on: コン) <br> [sound:k8-5677_根.mp3]
根	[sound:k8-5677_根.mp3] <br> (kun: ね, -ね; on: コン) <br> root, radical, head (pimple)
[sound:s8-5677_彼はこのプロジェクトの責任者です。.mp3]	<b>(責任者)</b> <br> 彼はこのプロジェクトの責任者です。<br> かれはこのぷろじぇくとのせきにんしゃです。 <br> He is in charge of this project.			
<b>(責任者)</b> <br> 彼はこのプロジェクトの責任者です。	[sound:s8-5677_彼はこのプロジェクトの責任者です。.mp3] <br> かれはこのぷろじぇくとのせきにんしゃです。 <br> He is in charge of this project.			
[sound:k8-5678_根.mp3]	根 <br> ね <br> root (of a plant); root (of a tooth, hair, etc.), center (of a pimple, etc.); root root (of all evil, etc.), source, origin, cause, basis; one's true nature; (fishing) reef
root (of a plant); root (of a tooth, hair, etc.), center (of a pimple, etc.); root root (of all evil, etc.), source, origin, cause, basis; one's true nature; (fishing) reef	根 <br> ね <br> [sound:k8-5678_根.mp3]
根	[sound:k8-5678_根.mp3] <br> ね <br> root (of a plant); root (of a tooth, hair, etc.), center (of a pimple, etc.); root root (of all evil, etc.), source, origin, cause, basis; one's true nature; (fishing) reef
[sound:s8-5678_彼は自分の責務を果たしました。.mp3]	<b>(責務)</b> <br> 彼は自分の責務を果たしました。<br> かれはじぶんのせきむをはたしました。 <br> He fulfilled his duty.			
<b>(責務)</b> <br> 彼は自分の責務を果たしました。	[sound:s8-5678_彼は自分の責務を果たしました。.mp3] <br> かれはじぶんのせきむをはたしました。 <br> He fulfilled his duty.			
[sound:k8-5679_根拠.mp3]	根拠 <br> こんきょ <br> basis, foundation
basis, foundation	根拠 <br> こんきょ <br> [sound:k8-5679_根拠.mp3]
根拠	[sound:k8-5679_根拠.mp3] <br> こんきょ <br> basis, foundation
[sound:s8-5679_その行為は無責任だ。.mp3]	<b>(無責任)</b> <br> その行為は無責任だ。<br> そのこういはむせきにんだ。 <br> That action is irresponsible.			
<b>(無責任)</b> <br> その行為は無責任だ。	[sound:s8-5679_その行為は無責任だ。.mp3] <br> そのこういはむせきにんだ。 <br> That action is irresponsible.			
[sound:k8-5680_屋根.mp3]	屋根 <br> やね <br> roof
roof	屋根 <br> やね <br> [sound:k8-5680_屋根.mp3]
屋根	[sound:k8-5680_屋根.mp3] <br> やね <br> roof
[sound:s8-5680_彼はエラーに引責を取りました。.mp3]	<b>(引責)</b> <br> 彼はエラーに引責を取りました。<br> かれはエラーにいんせきをとりました。 <br> He took responsibility for the error.			
<b>(引責)</b> <br> 彼はエラーに引責を取りました。	[sound:s8-5680_彼はエラーに引責を取りました。.mp3] <br> かれはエラーにいんせきをとりました。 <br> He took responsibility for the error.			
[sound:k8-5681_根本.mp3]	根本 <br> こんぽん, こんげん, ねもと <br> root, source, origin, foundation, base, principle
root, source, origin, foundation, base, principle	根本 <br> こんぽん, こんげん, ねもと <br> [sound:k8-5681_根本.mp3]
根本	[sound:k8-5681_根本.mp3] <br> こんぽん, こんげん, ねもと <br> root, source, origin, foundation, base, principle
[sound:s8-5681_犯罪者は刑事責任を負います。.mp3]	<b>(刑事責任)</b> <br> 犯罪者は刑事責任を負います。<br> はんざいしゃはけいじせきにんをおいます。 <br> Criminals are held criminally responsible.			
<b>(刑事責任)</b> <br> 犯罪者は刑事責任を負います。	[sound:s8-5681_犯罪者は刑事責任を負います。.mp3] <br> はんざいしゃはけいじせきにんをおいます。 <br> Criminals are held criminally responsible.			
[sound:k8-5682_草の根.mp3]	草の根 <br> くさのね <br> grassroots, rank and file, the roots of grass
grassroots, rank and file, the roots of grass	草の根 <br> くさのね <br> [sound:k8-5682_草の根.mp3]
草の根	[sound:k8-5682_草の根.mp3] <br> くさのね <br> grassroots, rank and file, the roots of grass
[sound:s8-5682_彼は責任感が強い。.mp3]	<b>(責任感)</b> <br> 彼は責任感が強い。<br> かれはせきにんかんがつよい。 <br> He has a strong sense of responsibility.			
<b>(責任感)</b> <br> 彼は責任感が強い。	[sound:s8-5682_彼は責任感が強い。.mp3] <br> かれはせきにんかんがつよい。 <br> He has a strong sense of responsibility.			
[sound:k8-5683_根幹.mp3]	根幹 <br> こんかん <br> basis, nucleus, root and branch
basis, nucleus, root and branch	根幹 <br> こんかん <br> [sound:k8-5683_根幹.mp3]
根幹	[sound:k8-5683_根幹.mp3] <br> こんかん <br> basis, nucleus, root and branch
[sound:s8-5683_彼は自分の道義的責任を果たしました。.mp3]	<b>(道義的責任)</b> <br> 彼は自分の道義的責任を果たしました。<br> かれはじぶんのどうぎてきせきにんをはたしました。 <br> He fulfilled his moral responsibility.			
<b>(道義的責任)</b> <br> 彼は自分の道義的責任を果たしました。	[sound:s8-5683_彼は自分の道義的責任を果たしました。.mp3] <br> かれはじぶんのどうぎてきせきにんをはたしました。 <br> He fulfilled his moral responsibility.			
[sound:k8-5684_根底.mp3]	根底 <br> こんてい <br> root, basis, foundation
root, basis, foundation	根底 <br> こんてい <br> [sound:k8-5684_根底.mp3]
根底	[sound:k8-5684_根底.mp3] <br> こんてい <br> root, basis, foundation
[sound:s8-5684_免責書にサインしてください。.mp3]	<b>(免責)</b> <br> 免責書にサインしてください。<br> めんせきしょにサインしてください。 <br> Please sign the waiver.			
<b>(免責)</b> <br> 免責書にサインしてください。	[sound:s8-5684_免責書にサインしてください。.mp3] <br> めんせきしょにサインしてください。 <br> Please sign the waiver.			
[sound:k8-5685_根本的.mp3]	根本的 <br> こんぽんてき <br> fundamental, basic
fundamental, basic	根本的 <br> こんぽんてき <br> [sound:k8-5685_根本的.mp3]
根本的	[sound:k8-5685_根本的.mp3] <br> こんぽんてき <br> fundamental, basic
[sound:s8-5685_彼は彼の行動について問責された。.mp3]	<b>(問責)</b> <br> 彼は彼の行動について問責された。<br> かれはかれのこうどうについてもんせきされた。 <br> He was questioned about his actions.			
<b>(問責)</b> <br> 彼は彼の行動について問責された。	[sound:s8-5685_彼は彼の行動について問責された。.mp3] <br> かれはかれのこうどうについてもんせきされた。 <br> He was questioned about his actions.			
[sound:k8-5686_根回し.mp3]	根回し <br> ねまわし <br> making necessary arrangements, laying the groundwork
making necessary arrangements, laying the groundwork	根回し <br> ねまわし <br> [sound:k8-5686_根回し.mp3]
根回し	[sound:k8-5686_根回し.mp3] <br> ねまわし <br> making necessary arrangements, laying the groundwork
[sound:s8-5686_私たちは列に並んで待った。.mp3]	<b>(並)</b> <br> 私たちは列に並んで待った。<br> わたしたちはれつにならんでまった。 <br> We stood in line and waited.			
<b>(並)</b> <br> 私たちは列に並んで待った。	[sound:s8-5686_私たちは列に並んで待った。.mp3] <br> わたしたちはれつにならんでまった。 <br> We stood in line and waited.			
[sound:k8-5687_島根.mp3]	島根 <br> しまね <br> island country
island country	島根 <br> しまね <br> [sound:k8-5687_島根.mp3]
島根	[sound:k8-5687_島根.mp3] <br> しまね <br> island country
[sound:s8-5687_教会と学校は並立している。.mp3]	<b>(並立)</b> <br> 教会と学校は並立している。<br> きょうかいとがっこうはへいりつしている。 <br> The church and the school stand side by side.			
<b>(並立)</b> <br> 教会と学校は並立している。	[sound:s8-5687_教会と学校は並立している。.mp3] <br> きょうかいとがっこうはへいりつしている。 <br> The church and the school stand side by side.			
[sound:k8-5688_色.mp3]	色 <br> (kun: いろ; on: ショク, シキ) <br> color
color	色 <br> (kun: いろ; on: ショク, シキ) <br> [sound:k8-5688_色.mp3]
色	[sound:k8-5688_色.mp3] <br> (kun: いろ; on: ショク, シキ) <br> color
[sound:s8-5688_並びは順番に従ってください。.mp3]	<b>(並び)</b> <br> 並びは順番に従ってください。<br> ならびはじゅんばんにしたがってください。 <br> Please line up in order.			
<b>(並び)</b> <br> 並びは順番に従ってください。	[sound:s8-5688_並びは順番に従ってください。.mp3] <br> ならびはじゅんばんにしたがってください。 <br> Please line up in order.			
[sound:k8-5689_色.mp3]	色 <br> いろ <br> colour, color; complexion; appearance, look; love, lust, sensuality, love affair, lover; kind, type, variety
colour, color; complexion; appearance, look; love, lust, sensuality, love affair, lover; kind, type, variety	色 <br> いろ <br> [sound:k8-5689_色.mp3]
色	[sound:k8-5689_色.mp3] <br> いろ <br> colour, color; complexion; appearance, look; love, lust, sensuality, love affair, lover; kind, type, variety
[sound:s8-5689_チームの足並みがそろっている。.mp3]	<b>(足並み)</b> <br> チームの足並みがそろっている。<br> チームのあしなみがそろっている。 <br> The team is moving in unison.			
<b>(足並み)</b> <br> チームの足並みがそろっている。	[sound:s8-5689_チームの足並みがそろっている。.mp3] <br> チームのあしなみがそろっている。 <br> The team is moving in unison.			
[sound:k8-5690_色彩.mp3]	色彩 <br> しきさい <br> colour, color, hue, tints
colour, color, hue, tints	色彩 <br> しきさい <br> [sound:k8-5690_色彩.mp3]
色彩	[sound:k8-5690_色彩.mp3] <br> しきさい <br> colour, color, hue, tints
[sound:s8-5690_彼女はその試験で並み外れた成績を収めた。.mp3]	<b>(並み)</b> <br> 彼女はその試験で並み外れた成績を収めた。<br> かのじょはそのしけんでなみがはずれたせいせきをおさめた。 <br> She achieved exceptional results in the exam.			
<b>(並み)</b> <br> 彼女はその試験で並み外れた成績を収めた。	[sound:s8-5690_彼女はその試験で並み外れた成績を収めた。.mp3] <br> かのじょはそのしけんでなみがはずれたせいせきをおさめた。 <br> She achieved exceptional results in the exam.			
[sound:k8-5691_特色.mp3]	特色 <br> とくしょく <br> characteristic, feature, idiosyncrasy, personal colour
characteristic, feature, idiosyncrasy, personal colour	特色 <br> とくしょく <br> [sound:k8-5691_特色.mp3]
特色	[sound:k8-5691_特色.mp3] <br> とくしょく <br> characteristic, feature, idiosyncrasy, personal colour
[sound:s8-5691_その商品は並びに関連商品を提供します。.mp3]	<b>(並びに)</b> <br> その商品は並びに関連商品を提供します。<br> そのしょうひんはならびにかんれんしょうひんをていきょうします。 <br> The product offers related items as well.			
<b>(並びに)</b> <br> その商品は並びに関連商品を提供します。	[sound:s8-5691_その商品は並びに関連商品を提供します。.mp3] <br> そのしょうひんはならびにかんれんしょうひんをていきょうします。 <br> The product offers related items as well.			
[sound:k8-5692_難色.mp3]	難色 <br> なんしょく <br> disapproval
disapproval	難色 <br> なんしょく <br> [sound:k8-5692_難色.mp3]
難色	[sound:k8-5692_難色.mp3] <br> なんしょく <br> disapproval
[sound:s8-5692_公園には美しい並木があります。.mp3]	<b>(並木)</b> <br> 公園には美しい並木があります。<br> こうえんにはうつくしいなみきがあります。 <br> There are beautiful rows of trees in the park.			
<b>(並木)</b> <br> 公園には美しい並木があります。	[sound:s8-5692_公園には美しい並木があります。.mp3] <br> こうえんにはうつくしいなみきがあります。 <br> There are beautiful rows of trees in the park.			
[sound:k8-5693_黄色.mp3]	黄色 <br> きいろ, こうしょく, おうしょく <br> yellow, amber
yellow, amber	黄色 <br> きいろ, こうしょく, おうしょく <br> [sound:k8-5693_黄色.mp3]
黄色	[sound:k8-5693_黄色.mp3] <br> きいろ, こうしょく, おうしょく <br> yellow, amber
[sound:s8-5693_今年の穀物収穫は平年並みです。.mp3]	<b>(平年並み)</b> <br> 今年の穀物収穫は平年並みです。<br> ことしのこくもつしゅうかくはへいねんなみです。 <br> This year's grain harvest is average.			
<b>(平年並み)</b> <br> 今年の穀物収穫は平年並みです。	[sound:s8-5693_今年の穀物収穫は平年並みです。.mp3] <br> ことしのこくもつしゅうかくはへいねんなみです。 <br> This year's grain harvest is average.			
[sound:k8-5694_異色.mp3]	異色 <br> いしょく <br> unique, different color, different colour, novelty
unique, different color, different colour, novelty	異色 <br> いしょく <br> [sound:k8-5694_異色.mp3]
異色	[sound:k8-5694_異色.mp3] <br> いしょく <br> unique, different color, different colour, novelty
[sound:s8-5694_その町は歴史的な町並みが残っている。.mp3]	<b>(町並み)</b> <br> その町は歴史的な町並みが残っている。<br> そのまちはれきしてきなまちなみがのこっている。 <br> The town retains its historical streetscape.			
<b>(町並み)</b> <br> その町は歴史的な町並みが残っている。	[sound:s8-5694_その町は歴史的な町並みが残っている。.mp3] <br> そのまちはれきしてきなまちなみがのこっている。 <br> The town retains its historical streetscape.			
[sound:k8-5695_一色.mp3]	一色 <br> いっしょく, いっしき, ひといろ <br> one color, one colour, one article
one color, one colour, one article	一色 <br> いっしょく, いっしき, ひといろ <br> [sound:k8-5695_一色.mp3]
一色	[sound:k8-5695_一色.mp3] <br> いっしょく, いっしき, ひといろ <br> one color, one colour, one article
[sound:s8-5695_並行して複数のプロジェクトが進行しています。.mp3]	<b>(並行)</b> <br> 並行して複数のプロジェクトが進行しています。<br> へいこうしてふくすうのぷろじぇくとがしんこうしています。 <br> Multiple projects are running in parallel.			
<b>(並行)</b> <br> 並行して複数のプロジェクトが進行しています。	[sound:s8-5695_並行して複数のプロジェクトが進行しています。.mp3] <br> へいこうしてふくすうのぷろじぇくとがしんこうしています。 <br> Multiple projects are running in parallel.			
[sound:k8-5696_灰色.mp3]	灰色 <br> はいいろ <br> grey, gray, ashen
grey, gray, ashen	灰色 <br> はいいろ <br> [sound:k8-5696_灰色.mp3]
灰色	[sound:k8-5696_灰色.mp3] <br> はいいろ <br> grey, gray, ashen
[sound:s8-5696_人々は列に並んで待っていた。.mp3]	<b>(並ぶ)</b> <br> 人々は列に並んで待っていた。<br> ひとびとはれつにならんでまっていた。 <br> People stood in line waiting.			
<b>(並ぶ)</b> <br> 人々は列に並んで待っていた。	[sound:s8-5696_人々は列に並んで待っていた。.mp3] <br> ひとびとはれつにならんでまっていた。 <br> People stood in line waiting.			
[sound:k8-5697_景色.mp3]	景色 <br> けしき <br> scenery, scene, landscape
scenery, scene, landscape	景色 <br> けしき <br> [sound:k8-5697_景色.mp3]
景色	[sound:k8-5697_景色.mp3] <br> けしき <br> scenery, scene, landscape
[sound:s8-5697_医療制度が整備されています。.mp3]	<b>(療)</b> <br> 医療制度が整備されています。<br> いりょうせいどがせいびされています。 <br> The healthcare system is in place.			
<b>(療)</b> <br> 医療制度が整備されています。	[sound:s8-5697_医療制度が整備されています。.mp3] <br> いりょうせいどがせいびされています。 <br> The healthcare system is in place.			
[sound:k8-5698_緑色.mp3]	緑色 <br> みどりいろ, りょくしょく, すいしょく <br> green, emerald green, green color of new foliage, verdure
green, emerald green, green color of new foliage, verdure	緑色 <br> みどりいろ, りょくしょく, すいしょく <br> [sound:k8-5698_緑色.mp3]
緑色	[sound:k8-5698_緑色.mp3] <br> みどりいろ, りょくしょく, すいしょく <br> green, emerald green, green color of new foliage, verdure
[sound:s8-5698_彼女は医療従事者です。.mp3]	<b>(医療)</b> <br> 彼女は医療従事者です。<br> かのじょはいりょうじゅうじしゃです。 <br> She is a healthcare professional.			
<b>(医療)</b> <br> 彼女は医療従事者です。	[sound:s8-5698_彼女は医療従事者です。.mp3] <br> かのじょはいりょうじゅうじしゃです。 <br> She is a healthcare professional.			
[sound:k8-5699_友.mp3]	友 <br> (kun: とも; on: ユウ) <br> friend
friend	友 <br> (kun: とも; on: ユウ) <br> [sound:k8-5699_友.mp3]
友	[sound:k8-5699_友.mp3] <br> (kun: とも; on: ユウ) <br> friend
[sound:s8-5699_彼は治療のために病院に入院しています。.mp3]	<b>(治療)</b> <br> 彼は治療のために病院に入院しています。<br> かれはちりょうのためにびょういんににゅういんしています。 <br> He is hospitalized for treatment.			
<b>(治療)</b> <br> 彼は治療のために病院に入院しています。	[sound:s8-5699_彼は治療のために病院に入院しています。.mp3] <br> かれはちりょうのためにびょういんににゅういんしています。 <br> He is hospitalized for treatment.			
[sound:k8-5700_友.mp3]	友 <br> とも <br> friend, companion, pal
friend, companion, pal	友 <br> とも <br> [sound:k8-5700_友.mp3]
友	[sound:k8-5700_友.mp3] <br> とも <br> friend, companion, pal
[sound:s8-5700_その病院は24時間診療を行っています。.mp3]	<b>(診療)</b> <br> その病院は24時間診療を行っています。<br> そのびょういんは24じかんしんりょうをおこなっています。 <br> The hospital provides 24-hour medical care.			
<b>(診療)</b> <br> その病院は24時間診療を行っています。	[sound:s8-5700_その病院は24時間診療を行っています。.mp3] <br> そのびょういんは24じかんしんりょうをおこなっています。 <br> The hospital provides 24-hour medical care.			
[sound:k8-5701_友人.mp3]	友人 <br> ゆうじん <br> friend
friend	友人 <br> ゆうじん <br> [sound:k8-5701_友人.mp3]
友人	[sound:k8-5701_友人.mp3] <br> ゆうじん <br> friend
[sound:s8-5701_物理療法はその患者に効果的でした。.mp3]	<b>(療法)</b> <br> 物理療法はその患者に効果的でした。<br> ぶつりりょうほうはそのかんじゃにこうかてきでした。 <br> Physical therapy was effective for the patient.			
<b>(療法)</b> <br> 物理療法はその患者に効果的でした。	[sound:s8-5701_物理療法はその患者に効果的でした。.mp3] <br> ぶつりりょうほうはそのかんじゃにこうかてきでした。 <br> Physical therapy was effective for the patient.			
[sound:k8-5702_友好.mp3]	友好 <br> ゆうこう <br> friendship
friendship	友好 <br> ゆうこう <br> [sound:k8-5702_友好.mp3]
友好	[sound:k8-5702_友好.mp3] <br> ゆうこう <br> friendship
[sound:s8-5702_ホームで療養している。.mp3]	<b>(療養)</b> <br> ホームで療養している。 <br> Hospitalized at home. <br> 			
(療養) 	[sound:s8-5702_ホームで療養している。.mp3] Hospitalized at home.			
[sound:k8-5703_友達.mp3]	友達 <br> ともだち <br> friend, companion
friend, companion	友達 <br> ともだち <br> [sound:k8-5703_友達.mp3]
友達	[sound:k8-5703_友達.mp3] <br> ともだち <br> friend, companion
[sound:s8-5703_対症療法では症状の原因を治療します。.mp3]	<b>(対症療法)</b> <br> 対症療法では症状の原因を治療します。<br> たいしょうりょうほうではしょうじょうのげんいんをちりょうします。 <br> Symptomatic treatment treats the cause of symptoms.			
<b>(対症療法)</b> <br> 対症療法では症状の原因を治療します。	[sound:s8-5703_対症療法では症状の原因を治療します。.mp3] <br> たいしょうりょうほうではしょうじょうのげんいんをちりょうします。 <br> Symptomatic treatment treats the cause of symptoms.			
[sound:k8-5704_住友.mp3]	住友 <br> すみとも <br> Sumitomo (company)
Sumitomo (company)	住友 <br> すみとも <br> [sound:k8-5704_住友.mp3]
住友	[sound:k8-5704_住友.mp3] <br> すみとも <br> Sumitomo (company)
[sound:s8-5704_今は荒療治が必要だ。.mp3]	<b>(荒療治)</b> <br> 今は荒療治が必要だ。<br> いまはこうりょうじがひつようだ。 <br> Radical treatment is necessary now.			
<b>(荒療治)</b> <br> 今は荒療治が必要だ。	[sound:s8-5704_今は荒療治が必要だ。.mp3] <br> いまはこうりょうじがひつようだ。 <br> Radical treatment is necessary now.			
[sound:k8-5705_住友銀行.mp3]	住友銀行 <br> すみともぎんこう <br> Sumitomo Bank
Sumitomo Bank	住友銀行 <br> すみともぎんこう <br> [sound:k8-5705_住友銀行.mp3]
住友銀行	[sound:k8-5705_住友銀行.mp3] <br> すみともぎんこう <br> Sumitomo Bank
[sound:s8-5705_彼女はがん治療のために化学療法を受けています。.mp3]	<b>(化学療法)</b> <br> 彼女はがん治療のために化学療法を受けています。<br> かのじょはがんちりょうのためにかがくりょうほうをうけています。 <br> She is undergoing chemotherapy for cancer treatment.			
