[sound:k8-3601_育英.mp3]	育英 <br> いくえい <br> education
<b>(正義)</b> <br> 正義は時に犠牲を伴います。	[sound:s8-3693_正義は時に犠牲を伴います。.mp3] <br> せいぎはときにぎせいをともないます。 <br> Sometimes justice comes with sacrifice.			
[sound:k8-3694_復旧.mp3]	復旧 <br> ふっきゅう, ふくきゅう <br> restoration, restitution, rehabilitation
restoration, restitution, rehabilitation	復旧 <br> ふっきゅう, ふくきゅう <br> [sound:k8-3694_復旧.mp3]
復旧	[sound:k8-3694_復旧.mp3] <br> ふっきゅう, ふくきゅう <br> restoration, restitution, rehabilitation
[sound:s8-3694_我々は民主主義を守る義務があります。.mp3]	<b>(民主主義)</b> <br> 我々は民主主義を守る義務があります。<br> われわれはみんしゅしゅぎをまもるぎむがあります。 <br> We have a duty to uphold democracy.			
<b>(民主主義)</b> <br> 我々は民主主義を守る義務があります。	[sound:s8-3694_我々は民主主義を守る義務があります。.mp3] <br> われわれはみんしゅしゅぎをまもるぎむがあります。 <br> We have a duty to uphold democracy.			
[sound:k8-3695_復権.mp3]	復権 <br> ふっけん, ふくけん <br> rehabilitation, reinstatement, restoration of rights
rehabilitation, reinstatement, restoration of rights	復権 <br> ふっけん, ふくけん <br> [sound:k8-3695_復権.mp3]
復権	[sound:k8-3695_復権.mp3] <br> ふっけん, ふくけん <br> rehabilitation, reinstatement, restoration of rights
[sound:s8-3695_その行動には深い意義があります。.mp3]	<b>(意義)</b> <br> その行動には深い意義があります。<br> そのこうどうにはふかいいぎがあります。 <br> There is deep significance in that action.			
<b>(意義)</b> <br> その行動には深い意義があります。	[sound:s8-3695_その行動には深い意義があります。.mp3] <br> そのこうどうにはふかいいぎがあります。 <br> There is deep significance in that action.			
[sound:k8-3696_復元.mp3]	復元 <br> ふくげん <br> restoration (to original state), reconstruction
restoration (to original state), reconstruction	復元 <br> ふくげん <br> [sound:k8-3696_復元.mp3]
復元	[sound:k8-3696_復元.mp3] <br> ふくげん <br> restoration (to original state), reconstruction
[sound:s8-3696_その書類は私の名義で提出されました。.mp3]	<b>(名義)</b> <br> その書類は私の名義で提出されました。<br> そのしょるいはわたしのめいぎでていしゅつされました。 <br> The document was submitted in my name.			
<b>(名義)</b> <br> その書類は私の名義で提出されました。	[sound:s8-3696_その書類は私の名義で提出されました。.mp3] <br> そのしょるいはわたしのめいぎでていしゅつされました。 <br> The document was submitted in my name.			
[sound:k8-3697_仕.mp3]	仕 <br> (kun: つか.える; on: シ, ジ) <br> attend, doing, official, serve
attend, doing, official, serve	仕 <br> (kun: つか.える; on: シ, ジ) <br> [sound:k8-3697_仕.mp3]
仕	[sound:k8-3697_仕.mp3] <br> (kun: つか.える; on: シ, ジ) <br> attend, doing, official, serve
[sound:s8-3697_彼は共産主義の信奉者です。.mp3]	<b>(共産主義)</b> <br> 彼は共産主義の信奉者です。<br> かれはきょうさんしゅぎのしんぽうしゃです。 <br> He is a devout believer in communism.			
<b>(共産主義)</b> <br> 彼は共産主義の信奉者です。	[sound:s8-3697_彼は共産主義の信奉者です。.mp3] <br> かれはきょうさんしゅぎのしんぽうしゃです。 <br> He is a devout believer in communism.			
[sound:k8-3698_仕事.mp3]	仕事 <br> しごと <br> work, job, business, occupation, employment, vocation, task; work
work, job, business, occupation, employment, vocation, task; work	仕事 <br> しごと <br> [sound:k8-3698_仕事.mp3]
仕事	[sound:k8-3698_仕事.mp3] <br> しごと <br> work, job, business, occupation, employment, vocation, task; work
[sound:s8-3698_彼は父から技を伝授されました。.mp3]	<b>(伝)</b> <br> 彼は父から技を伝授されました。<br> かれはちちからわざをでんじゅされました。 <br> He was taught skills by his father.			
<b>(伝)</b> <br> 彼は父から技を伝授されました。	[sound:s8-3698_彼は父から技を伝授されました。.mp3] <br> かれはちちからわざをでんじゅされました。 <br> He was taught skills by his father.			
[sound:k8-3699_仕組み.mp3]	仕組み <br> しくみ <br> structure, construction, arrangement, contrivance; plan, plot, contrivance
structure, construction, arrangement, contrivance; plan, plot, contrivance	仕組み <br> しくみ <br> [sound:k8-3699_仕組み.mp3]
仕組み	[sound:k8-3699_仕組み.mp3] <br> しくみ <br> structure, construction, arrangement, contrivance; plan, plot, contrivance
[sound:s8-3699_その行事は古くからの伝統です。.mp3]	<b>(伝統)</b> <br> その行事は古くからの伝統です。<br> そのぎょうじはふるくからのでんとうです。 <br> The event is a tradition from ancient times.			
<b>(伝統)</b> <br> その行事は古くからの伝統です。	[sound:s8-3699_その行事は古くからの伝統です。.mp3] <br> そのぎょうじはふるくからのでんとうです。 <br> The event is a tradition from ancient times.			
[sound:k8-3700_仕方.mp3]	仕方 <br> しかた <br> way, method, means, resource, course
way, method, means, resource, course	仕方 <br> しかた <br> [sound:k8-3700_仕方.mp3]
仕方	[sound:k8-3700_仕方.mp3] <br> しかた <br> way, method, means, resource, course
[sound:s8-3700_遺伝子研究が進展しています。.mp3]	<b>(遺伝子)</b> <br> 遺伝子研究が進展しています。<br> いでんしかんきゅうがしんてんしています。 <br> Genetic research is advancing.			
<b>(遺伝子)</b> <br> 遺伝子研究が進展しています。	[sound:s8-3700_遺伝子研究が進展しています。.mp3] <br> いでんしかんきゅうがしんてんしています。 <br> Genetic research is advancing.			
[sound:k8-3701_仕掛け.mp3]	仕掛け <br> しかけ <br> device, trick, mechanism, gadget, (small) scale, half finished, commencement, set up, challenge
device, trick, mechanism, gadget, (small) scale, half finished, commencement, set up, challenge	仕掛け <br> しかけ <br> [sound:k8-3701_仕掛け.mp3]
仕掛け	[sound:k8-3701_仕掛け.mp3] <br> しかけ <br> device, trick, mechanism, gadget, (small) scale, half finished, commencement, set up, challenge
[sound:s8-3701_その商品の宣伝が始まりました。.mp3]	<b>(宣伝)</b> <br> その商品の宣伝が始まりました。<br> そのしょうひんのせんでんがはじまりました。 <br> The advertising for the product has started.			
<b>(宣伝)</b> <br> その商品の宣伝が始まりました。	[sound:s8-3701_その商品の宣伝が始まりました。.mp3] <br> そのしょうひんのせんでんがはじまりました。 <br> The advertising for the product has started.			
[sound:k8-3702_仕手.mp3]	仕手 <br> して <br> doer, performer; protagonist (in noh or kyogen), hero, leading part, main character; speculator (in trading)
doer, performer; protagonist (in noh or kyogen), hero, leading part, main character; speculator (in trading)	仕手 <br> して <br> [sound:k8-3702_仕手.mp3]
仕手	[sound:k8-3702_仕手.mp3] <br> して <br> doer, performer; protagonist (in noh or kyogen), hero, leading part, main character; speculator (in trading)
[sound:s8-3702_その場所には古代の伝説が残っています。.mp3]	<b>(伝説)</b> <br> その場所には古代の伝説が残っています。<br> そのばしょにはこだいのでんせつがのこっています。 <br> Ancient legends remain in that place.			
<b>(伝説)</b> <br> その場所には古代の伝説が残っています。	[sound:s8-3702_その場所には古代の伝説が残っています。.mp3] <br> そのばしょにはこだいのでんせつがのこっています。 <br> Ancient legends remain in that place.			
[sound:k8-3703_奉仕.mp3]	奉仕 <br> ほうし <br> attendance, service, ministry, church work
attendance, service, ministry, church work	奉仕 <br> ほうし <br> [sound:k8-3703_奉仕.mp3]
奉仕	[sound:k8-3703_奉仕.mp3] <br> ほうし <br> attendance, service, ministry, church work
[sound:s8-3703_彼女は伝統的な価値観を持っています。.mp3]	<b>(伝統的)</b> <br> 彼女は伝統的な価値観を持っています。<br> かのじょはでんとうてきなかちかんをもっています。 <br> She holds traditional values.			
<b>(伝統的)</b> <br> 彼女は伝統的な価値観を持っています。	[sound:s8-3703_彼女は伝統的な価値観を持っています。.mp3] <br> かのじょはでんとうてきなかちかんをもっています。 <br> She holds traditional values.			
[sound:k8-3704_仕様.mp3]	仕様 <br> しよう <br> way, method, means, resource, remedy; (technical) specification
way, method, means, resource, remedy; (technical) specification	仕様 <br> しよう <br> [sound:k8-3704_仕様.mp3]
仕様	[sound:k8-3704_仕様.mp3] <br> しよう <br> way, method, means, resource, remedy; (technical) specification
[sound:s8-3704_彼らは毎年駅伝に参加します。.mp3]	<b>(駅伝)</b> <br> 彼らは毎年駅伝に参加します。<br> かれらはまいとしえきでんにさんかします。 <br> They participate in the relay race every year.			
<b>(駅伝)</b> <br> 彼らは毎年駅伝に参加します。	[sound:s8-3704_彼らは毎年駅伝に参加します。.mp3] <br> かれらはまいとしえきでんにさんかします。 <br> They participate in the relay race every year.			
[sound:k8-3705_仕入れ.mp3]	仕入れ <br> しいれ <br> stocking, buying up
stocking, buying up	仕入れ <br> しいれ <br> [sound:k8-3705_仕入れ.mp3]
仕入れ	[sound:k8-3705_仕入れ.mp3] <br> しいれ <br> stocking, buying up
[sound:s8-3705_その特性は遺伝する可能性があります。.mp3]	<b>(遺伝)</b> <br> その特性は遺伝する可能性があります。<br> そのとくせいはいでんするかのうせいがあります。 <br> That trait may be hereditary.			
<b>(遺伝)</b> <br> その特性は遺伝する可能性があります。	[sound:s8-3705_その特性は遺伝する可能性があります。.mp3] <br> そのとくせいはいでんするかのうせいがあります。 <br> That trait may be hereditary.			
[sound:k8-3706_仕上げ.mp3]	仕上げ <br> しあげ <br> end, finishing touches, being finished
end, finishing touches, being finished	仕上げ <br> しあげ <br> [sound:k8-3706_仕上げ.mp3]
仕上げ	[sound:k8-3706_仕上げ.mp3] <br> しあげ <br> end, finishing touches, being finished
[sound:s8-3706_彼女は母に手伝いをしています。.mp3]	<b>(手伝い)</b> <br> 彼女は母に手伝いをしています。<br> かのじょはははにてつだいをしています。 <br> She is helping her mother.			
<b>(手伝い)</b> <br> 彼女は母に手伝いをしています。	[sound:s8-3706_彼女は母に手伝いをしています。.mp3] <br> かのじょはははにてつだいをしています。 <br> She is helping her mother.			
[sound:k8-3707_仕上がり.mp3]	仕上がり <br> しあがり <br> finish, end, completion
finish, end, completion	仕上がり <br> しあがり <br> [sound:k8-3707_仕上がり.mp3]
仕上がり	[sound:k8-3707_仕上がり.mp3] <br> しあがり <br> finish, end, completion
[sound:s8-3707_情報の伝達には正確性が重要です。.mp3]	<b>(伝達)</b> <br> 情報の伝達には正確性が重要です。<br> じょうほうのでんたつにはせいかくせいがじゅうようです。 <br> Accuracy is important in the transmission of information.			
<b>(伝達)</b> <br> 情報の伝達には正確性が重要です。	[sound:s8-3707_情報の伝達には正確性が重要です。.mp3] <br> じょうほうのでんたつにはせいかくせいがじゅうようです。 <br> Accuracy is important in the transmission of information.			
[sound:k8-3708_去.mp3]	去 <br> (kun: さ.る, -さ.る; on: キョ, コ) <br> gone, past, quit, leave, elapse, eliminate, divorce
gone, past, quit, leave, elapse, eliminate, divorce	去 <br> (kun: さ.る, -さ.る; on: キョ, コ) <br> [sound:k8-3708_去.mp3]
去	[sound:k8-3708_去.mp3] <br> (kun: さ.る, -さ.る; on: キョ, コ) <br> gone, past, quit, leave, elapse, eliminate, divorce
[sound:s8-3708_彼の自伝がベストセラーとなった。.mp3]	<b>(自伝)</b> <br> 彼の自伝がベストセラーとなった。<br> かれのじでんがべすとせらーとなった。 <br> His autobiography became a bestseller.			
<b>(自伝)</b> <br> 彼の自伝がベストセラーとなった。	[sound:s8-3708_彼の自伝がベストセラーとなった。.mp3] <br> かれのじでんがべすとせらーとなった。 <br> His autobiography became a bestseller.			
[sound:k8-3709_過去.mp3]	過去 <br> かこ <br> the past, bygone days, the previous
the past, bygone days, the previous	過去 <br> かこ <br> [sound:k8-3709_過去.mp3]
過去	[sound:k8-3709_過去.mp3] <br> かこ <br> the past, bygone days, the previous
[sound:s8-3709_彼女は一生懸命働いています。.mp3]	<b>(働)</b> <br> 彼女は一生懸命働いています。<br> かのじょはいっしょうけんめいはたらいています。 <br> She is working hard.			
<b>(働)</b> <br> 彼女は一生懸命働いています。	[sound:s8-3709_彼女は一生懸命働いています。.mp3] <br> かのじょはいっしょうけんめいはたらいています。 <br> She is working hard.			
[sound:k8-3710_死去.mp3]	死去 <br> しきょ <br> death
death	死去 <br> しきょ <br> [sound:k8-3710_死去.mp3]
死去	[sound:k8-3710_死去.mp3] <br> しきょ <br> death
[sound:s8-3710_その機械の働きは非常に効率的です。.mp3]	<b>(働き)</b> <br> その機械の働きは非常に効率的です。<br> そのきかいのはたらきはひじょうにこうりつてきです。 <br> The operation of the machine is very efficient.			
<b>(働き)</b> <br> その機械の働きは非常に効率的です。	[sound:s8-3710_その機械の働きは非常に効率的です。.mp3] <br> そのきかいのはたらきはひじょうにこうりつてきです。 <br> The operation of the machine is very efficient.			
[sound:k8-3711_撤去.mp3]	撤去 <br> てっきょ <br> withdrawal, revocation, repeal; demolition, removal
withdrawal, revocation, repeal; demolition, removal	撤去 <br> てっきょ <br> [sound:k8-3711_撤去.mp3]
撤去	[sound:k8-3711_撤去.mp3] <br> てっきょ <br> withdrawal, revocation, repeal; demolition, removal
[sound:s8-3711_労働者は社会の基盤です。.mp3]	<b>(労働)</b> <br> 労働者は社会の基盤です。<br> ろうどうしゃはしゃかいのきばんです。 <br> Workers are the foundation of society.			
<b>(労働)</b> <br> 労働者は社会の基盤です。	[sound:s8-3711_労働者は社会の基盤です。.mp3] <br> ろうどうしゃはしゃかいのきばんです。 <br> Workers are the foundation of society.			
[sound:k8-3712_除去.mp3]	除去 <br> じょきょ <br> removal, getting rid of
removal, getting rid of	除去 <br> じょきょ <br> [sound:k8-3712_除去.mp3]
除去	[sound:k8-3712_除去.mp3] <br> じょきょ <br> removal, getting rid of
[sound:s8-3712_労働者の権利が保護されなければなりません。.mp3]	<b>(労働者)</b> <br> 労働者の権利が保護されなければなりません。<br> ろうどうしゃのけんりがほごされなければなりません。 <br> Workers' rights must be protected.			
<b>(労働者)</b> <br> 労働者の権利が保護されなければなりません。	[sound:s8-3712_労働者の権利が保護されなければなりません。.mp3] <br> ろうどうしゃのけんりがほごされなければなりません。 <br> Workers' rights must be protected.			
[sound:k8-3713_去年.mp3]	去年 <br> きょねん, こぞ <br> last year
last year	去年 <br> きょねん, こぞ <br> [sound:k8-3713_去年.mp3]
去年	[sound:k8-3713_去年.mp3] <br> きょねん, こぞ <br> last year
[sound:s8-3713_彼は労働省で働いています。.mp3]	<b>(労働省)</b> <br> 彼は労働省で働いています。<br> かれはろうどうしょうではたらいています。 <br> He works at the Ministry of Labor.			
<b>(労働省)</b> <br> 彼は労働省で働いています。	[sound:s8-3713_彼は労働省で働いています。.mp3] <br> かれはろうどうしょうではたらいています。 <br> He works at the Ministry of Labor.			
[sound:k8-3714_退去.mp3]	退去 <br> たいきょ <br> departure, leaving, going away, evacuation; recession
departure, leaving, going away, evacuation; recession	退去 <br> たいきょ <br> [sound:k8-3714_退去.mp3]
退去	[sound:k8-3714_退去.mp3] <br> たいきょ <br> departure, leaving, going away, evacuation; recession
[sound:s8-3714_その国の政権は労働党が握っています。.mp3]	<b>(労働党)</b> <br> その国の政権は労働党が握っています。<br> そのくにのせいけんはろうどうとうがにぎっています。 <br> The Labor Party holds power in the country.			
<b>(労働党)</b> <br> その国の政権は労働党が握っています。	[sound:s8-3714_その国の政権は労働党が握っています。.mp3] <br> そのくにのせいけんはろうどうとうがにぎっています。 <br> The Labor Party holds power in the country.			
[sound:k8-3715_置き去り.mp3]	置き去り <br> おきざり <br> desertion, leaving behind or in the lurch
desertion, leaving behind or in the lurch	置き去り <br> おきざり <br> [sound:k8-3715_置き去り.mp3]
置き去り	[sound:k8-3715_置き去り.mp3] <br> おきざり <br> desertion, leaving behind or in the lurch
[sound:s8-3715_労働組合は労働者の権利を守ります。.mp3]	<b>(労働組合)</b> <br> 労働組合は労働者の権利を守ります。<br> ろうどうくみあいはろうどうしゃのけんりをまもります。 <br> Trade unions protect the rights of workers.			
<b>(労働組合)</b> <br> 労働組合は労働者の権利を守ります。	[sound:s8-3715_労働組合は労働者の権利を守ります。.mp3] <br> ろうどうくみあいはろうどうしゃのけんりをまもります。 <br> Trade unions protect the rights of workers.			
[sound:k8-3716_去就.mp3]	去就 <br> きょしゅう <br> committing one's self
committing one's self	去就 <br> きょしゅう <br> [sound:k8-3716_去就.mp3]
去就	[sound:k8-3716_去就.mp3] <br> きょしゅう <br> committing one's self
[sound:s8-3716_彼らは良い労働条件を求めてストライキを行った。.mp3]	<b>(労働条件)</b> <br> 彼らは良い労働条件を求めてストライキを行った。<br> かれらはよいろうどうじょうけんをもとめてすとらいきをおこなった。 <br> They went on strike to demand better working conditions.			
<b>(労働条件)</b> <br> 彼らは良い労働条件を求めてストライキを行った。	[sound:s8-3716_彼らは良い労働条件を求めてストライキを行った。.mp3] <br> かれらはよいろうどうじょうけんをもとめてすとらいきをおこなった。 <br> They went on strike to demand better working conditions.			
[sound:k8-3717_去る.mp3]	去る <br> さる <br> to leave, to go away; to pass, to elapse; to be distant; to send away, to drive off, to divorce; (after a -masu stem, esp. of a suru verb) ... completely; last ... (e.g. "last April")
to leave, to go away; to pass, to elapse; to be distant; to send away, to drive off, to divorce; (after a -masu stem, esp. of a suru verb) ... completely; last ... (e.g. "last April")	去る <br> さる <br> [sound:k8-3717_去る.mp3]
去る	[sound:k8-3717_去る.mp3] <br> さる <br> to leave, to go away; to pass, to elapse; to be distant; to send away, to drive off, to divorce; (after a -masu stem, esp. of a suru verb) ... completely; last ... (e.g. "last April")
[sound:s8-3717_その工場は24時間稼働しています。.mp3]	<b>(稼働)</b> <br> その工場は24時間稼働しています。<br> そのこうじょうは24じかんかどうしています。 <br> The factory operates 24 hours a day.			
<b>(稼働)</b> <br> その工場は24時間稼働しています。	[sound:s8-3717_その工場は24時間稼働しています。.mp3] <br> そのこうじょうは24じかんかどうしています。 <br> The factory operates 24 hours a day.			
[sound:k8-3718_連れ去る.mp3]	連れ去る <br> つれさる <br> to take away, to kidnap
to take away, to kidnap	連れ去る <br> つれさる <br> [sound:k8-3718_連れ去る.mp3]
連れ去る	[sound:k8-3718_連れ去る.mp3] <br> つれさる <br> to take away, to kidnap
[sound:s8-3718_夫婦で共働きをする家庭が増えています。.mp3]	<b>(共働き)</b> <br> 夫婦で共働きをする家庭が増えています。<br> ふうふできょうばたらきをするかていがふえています。 <br> There is an increasing number of households where both spouses work.			
<b>(共働き)</b> <br> 夫婦で共働きをする家庭が増えています。	[sound:s8-3718_夫婦で共働きをする家庭が増えています。.mp3] <br> ふうふできょうばたらきをするかていがふえています。 <br> There is an increasing number of households where both spouses work.			
[sound:k8-3719_姿.mp3]	姿 <br> (kun: すがた; on: シ) <br> figure, form, shape
figure, form, shape	姿 <br> (kun: すがた; on: シ) <br> [sound:k8-3719_姿.mp3]
姿	[sound:k8-3719_姿.mp3] <br> (kun: すがた; on: シ) <br> figure, form, shape
[sound:s8-3719_彼は多くの人々を働かせています。.mp3]	<b>(働かせる)</b> <br> 彼は多くの人々を働かせています。<br> かれはおおくのひとびとをはたらかせています。 <br> He employs many people.			
<b>(働かせる)</b> <br> 彼は多くの人々を働かせています。	[sound:s8-3719_彼は多くの人々を働かせています。.mp3] <br> かれはおおくのひとびとをはたらかせています。 <br> He employs many people.			
[sound:k8-3720_姿.mp3]	姿 <br> すがた <br> figure, shape, appearance
figure, shape, appearance	姿 <br> すがた <br> [sound:k8-3720_姿.mp3]
姿	[sound:k8-3720_姿.mp3] <br> すがた <br> figure, shape, appearance
[sound:s8-3720_その建物の形は四角形です。.mp3]	<b>(形)</b> <br> その建物の形は四角形です。<br> そのたてもののかたちはしかくけいです。 <br> The shape of the building is rectangular.			
<b>(形)</b> <br> その建物の形は四角形です。	[sound:s8-3720_その建物の形は四角形です。.mp3] <br> そのたてもののかたちはしかくけいです。 <br> The shape of the building is rectangular.			
[sound:k8-3721_姿勢.mp3]	姿勢 <br> しせい <br> attitude, posture
attitude, posture	姿勢 <br> しせい <br> [sound:k8-3721_姿勢.mp3]
姿勢	[sound:k8-3721_姿勢.mp3] <br> しせい <br> attitude, posture
[sound:s8-3721_彼は人間の形をしたロボットを作りました。.mp3]	<b>(形)</b> <br> 彼は人間の形をしたロボットを作りました。<br> かれはにんげんのかたちをしたろぼっとをつくりました。 <br> He made a robot in the shape of a human.			
<b>(形)</b> <br> 彼は人間の形をしたロボットを作りました。	[sound:s8-3721_彼は人間の形をしたロボットを作りました。.mp3] <br> かれはにんげんのかたちをしたろぼっとをつくりました。 <br> He made a robot in the shape of a human.			
[sound:k8-3722_後ろ姿.mp3]	後ろ姿 <br> うしろすがた <br> retreating figure, appearance from behind
retreating figure, appearance from behind	後ろ姿 <br> うしろすがた <br> [sound:k8-3722_後ろ姿.mp3]
後ろ姿	[sound:k8-3722_後ろ姿.mp3] <br> うしろすがた <br> retreating figure, appearance from behind
[sound:s8-3722_その書類は正式な形式で提出してください。.mp3]	<b>(形式)</b> <br> その書類は正式な形式で提出してください。<br> そのしょるいはせいしきなけいしきでていしゅつしてください。 <br> Please submit the document in the official format.			
<b>(形式)</b> <br> その書類は正式な形式で提出してください。	[sound:s8-3722_その書類は正式な形式で提出してください。.mp3] <br> そのしょるいはせいしきなけいしきでていしゅつしてください。 <br> Please submit the document in the official format.			
[sound:k8-3723_容姿.mp3]	容姿 <br> ようし <br> appearance, one's face and figure
appearance, one's face and figure	容姿 <br> ようし <br> [sound:k8-3723_容姿.mp3]
容姿	[sound:k8-3723_容姿.mp3] <br> ようし <br> appearance, one's face and figure
[sound:s8-3723_チームワークを形成することが重要です。.mp3]	<b>(形成)</b> <br> チームワークを形成することが重要です。<br> ちーむわーくをけいせいすることがじゅうようです。 <br> Forming teamwork is important.			
<b>(形成)</b> <br> チームワークを形成することが重要です。	[sound:s8-3723_チームワークを形成することが重要です。.mp3] <br> ちーむわーくをけいせいすることがじゅうようです。 <br> Forming teamwork is important.			
[sound:k8-3724_雄姿.mp3]	雄姿 <br> ゆうし <br> gallant figure
gallant figure	雄姿 <br> ゆうし <br> [sound:k8-3724_雄姿.mp3]
雄姿	[sound:k8-3724_雄姿.mp3] <br> ゆうし <br> gallant figure
[sound:s8-3724_その建物の形態は独特です。.mp3]	<b>(形態)</b> <br> その建物の形態は独特です。<br> そのたてもののけいたいはどくとくです。 <br> The form of the building is unique.			
<b>(形態)</b> <br> その建物の形態は独特です。	[sound:s8-3724_その建物の形態は独特です。.mp3] <br> そのたてもののけいたいはどくとくです。 <br> The form of the building is unique.			
[sound:k8-3725_低姿勢.mp3]	低姿勢 <br> ていしせい <br> (keeping a) low profile
(keeping a) low profile	低姿勢 <br> ていしせい <br> [sound:k8-3725_低姿勢.mp3]
低姿勢	[sound:k8-3725_低姿勢.mp3] <br> ていしせい <br> (keeping a) low profile
[sound:s8-3725_その子供は人形を大切にします。.mp3]	<b>(人形)</b> <br> その子供は人形を大切にします。<br> そのこどもはにんぎょうをたいせつにします。 <br> The child cherishes the doll.			
<b>(人形)</b> <br> その子供は人形を大切にします。	[sound:s8-3725_その子供は人形を大切にします。.mp3] <br> そのこどもはにんぎょうをたいせつにします。 <br> The child cherishes the doll.			
[sound:k8-3726_晴れ姿.mp3]	晴れ姿 <br> はれすがた <br> appearing in one's finest clothes, appearing in one's hour of triumph
appearing in one's finest clothes, appearing in one's hour of triumph	晴れ姿 <br> はれすがた <br> [sound:k8-3726_晴れ姿.mp3]
晴れ姿	[sound:k8-3726_晴れ姿.mp3] <br> はれすがた <br> appearing in one's finest clothes, appearing in one's hour of triumph
[sound:s8-3726_山形県は自然が豊かです。.mp3]	<b>(山形)</b> <br> 山形県は自然が豊かです。<br> やまがたけんはしぜんがゆたかです。 <br> Yamagata Prefecture is rich in nature.			
<b>(山形)</b> <br> 山形県は自然が豊かです。	[sound:s8-3726_山形県は自然が豊かです。.mp3] <br> やまがたけんはしぜんがゆたかです。 <br> Yamagata Prefecture is rich in nature.			
[sound:k8-3727_あで姿.mp3]	あで姿 <br> あですがた, えんし <br> charming figure, alluring figure
charming figure, alluring figure	あで姿 <br> あですがた, えんし <br> [sound:k8-3727_あで姿.mp3]
あで姿	[sound:k8-3727_あで姿.mp3] <br> あですがた, えんし <br> charming figure, alluring figure
[sound:s8-3727_彼は手形を受け取りました。.mp3]	<b>(手形)</b> <br> 彼は手形を受け取りました。<br> かれはてがたをうけとりました。 <br> He received a promissory note.			
<b>(手形)</b> <br> 彼は手形を受け取りました。	[sound:s8-3727_彼は手形を受け取りました。.mp3] <br> かれはてがたをうけとりました。 <br> He received a promissory note.			
[sound:k8-3728_姿をあらわす.mp3]	姿をあらわす <br> すがたをあらわす <br> to make an appearance, to show up
to make an appearance, to show up	姿をあらわす <br> すがたをあらわす <br> [sound:k8-3728_姿をあらわす.mp3]
姿をあらわす	[sound:k8-3728_姿をあらわす.mp3] <br> すがたをあらわす <br> to make an appearance, to show up
[sound:s8-3728_その芸術家の造形は非常に美しい。.mp3]	<b>(造形)</b> <br> その芸術家の造形は非常に美しい。<br> そのげいじゅつかのぞうけいはひじょうにうつくしい。 <br> The artist's sculpture is very beautiful.			
<b>(造形)</b> <br> その芸術家の造形は非常に美しい。	[sound:s8-3728_その芸術家の造形は非常に美しい。.mp3] <br> そのげいじゅつかのぞうけいはひじょうにうつくしい。 <br> The artist's sculpture is very beautiful.			
[sound:k8-3729_パジャマ姿.mp3]	パジャマ姿 <br> パジャマすがた <br> (appearance while) in pajamas (pyjamas)
(appearance while) in pajamas (pyjamas)	パジャマ姿 <br> パジャマすがた <br> [sound:k8-3729_パジャマ姿.mp3]
パジャマ姿	[sound:k8-3729_パジャマ姿.mp3] <br> パジャマすがた <br> (appearance while) in pajamas (pyjamas)
[sound:s8-3729_彼は自由形の選手です。.mp3]	<b>(自由形)</b> <br> 彼は自由形の選手です。<br> かれはじゆうけいのせんしゅです。 <br> He is a freestyle swimmer.			
<b>(自由形)</b> <br> 彼は自由形の選手です。	[sound:s8-3729_彼は自由形の選手です。.mp3] <br> かれはじゆうけいのせんしゅです。 <br> He is a freestyle swimmer.			
[sound:k8-3730_味.mp3]	味 <br> (kun: あじ, あじ.わう; on: ミ) <br> flavor, taste
flavor, taste	味 <br> (kun: あじ, あじ.わう; on: ミ) <br> [sound:k8-3730_味.mp3]
味	[sound:k8-3730_味.mp3] <br> (kun: あじ, あじ.わう; on: ミ) <br> flavor, taste
[sound:s8-3730_その広場は円形です。.mp3]	<b>(円形)</b> <br> その広場は円形です。<br> そのひろばはえんけいです。 <br> The plaza is circular.			
<b>(円形)</b> <br> その広場は円形です。	[sound:s8-3730_その広場は円形です。.mp3] <br> そのひろばはえんけいです。 <br> The plaza is circular.			
[sound:k8-3731_味.mp3]	味 <br> あじ <br> flavor, flavour, taste; charm, style; experience; smart, clever, witty, strange
flavor, flavour, taste; charm, style; experience; smart, clever, witty, strange	味 <br> あじ <br> [sound:k8-3731_味.mp3]
味	[sound:k8-3731_味.mp3] <br> あじ <br> flavor, flavour, taste; charm, style; experience; smart, clever, witty, strange
[sound:s8-3731_その町は観光客に人気のある景勝地です。.mp3]	<b>(景)</b> <br> その町は観光客に人気のある景勝地です。<br> そのまちはかんこうきゃくににんきのあるけいしょうちです。 <br> The town is a popular scenic spot for tourists.			
<b>(景)</b> <br> その町は観光客に人気のある景勝地です。	[sound:s8-3731_その町は観光客に人気のある景勝地です。.mp3] <br> そのまちはかんこうきゃくににんきのあるけいしょうちです。 <br> The town is a popular scenic spot for tourists.			
[sound:k8-3732_意味.mp3]	意味 <br> いみ <br> meaning, significance
meaning, significance	意味 <br> いみ <br> [sound:k8-3732_意味.mp3]
意味	[sound:k8-3732_意味.mp3] <br> いみ <br> meaning, significance
[sound:s8-3732_景気は悪化しています。.mp3]	<b>(景気)</b> <br> 景気は悪化しています。<br> けいきはあっかしています。 <br> The economy is deteriorating.			
<b>(景気)</b> <br> 景気は悪化しています。	[sound:s8-3732_景気は悪化しています。.mp3] <br> けいきはあっかしています。 <br> The economy is deteriorating.			
[sound:k8-3733_興味.mp3]	興味 <br> きょうみ <br> interest (in something)
interest (in something)	興味 <br> きょうみ <br> [sound:k8-3733_興味.mp3]
興味	[sound:k8-3733_興味.mp3] <br> きょうみ <br> interest (in something)
