[sound:s8-0001_早く起きた。.mp3]	<b>(早)</b> <br> 早く起きた。<br> はやくおきた。 <br> I woke up early.			
[sound:s8-0646_彼は陸上競技でメダルを獲得した。.mp3]	<b>(陸上競技)</b> <br> 彼は陸上競技でメダルを獲得した。<br> かれはりくじょうきょうぎでメダルをかくとくした。 <br> He won a medal in track and field.			
[sound:s8-0647_彼は優秀な技師です。.mp3]	<b>(技師)</b> <br> 彼は優秀な技師です。<br> かれはゆうしゅうなぎしです。 <br> He is an excellent technician.			
[sound:s8-0648_彼の成績は低かった。.mp3]	<b>(低)</b> <br> 彼の成績は低かった。<br> かれのせいせきはひくかった。 <br> His grades were low.			
[sound:s8-0649_彼は声を低めて話した。.mp3]	<b>(低める)</b> <br> 彼は声を低めて話した。<br> かれはこえをひくめてはなした。 <br> He spoke in a low voice.			
[sound:s8-0650_彼の行動は最低です。.mp3]	<b>(最低)</b> <br> 彼の行動は最低です。<br> かれのこうどうはさいていです。 <br> His behavior is the worst.			
[sound:s8-0651_売上が低下しています。.mp3]	<b>(低下)</b> <br> 売上が低下しています。<br> うりあげがていかしています。 <br> Sales are decreasing.			
[sound:s8-0652_経済は低迷しています。.mp3]	<b>(低迷)</b> <br> 経済は低迷しています。<br> けいざいはていめいしています。 <br> The economy is in a slump.			
[sound:s8-0653_その建物は低いです。.mp3]	<b>(低い)</b> <br> その建物は低いです。<br> そのたてものはひくいです。 <br> That building is low.			
[sound:s8-0654_その製品は低価格です。.mp3]	<b>(低価格)</b> <br> その製品は低価格です。<br> そのせいひんはていかかくです。 <br> The product is low-priced.			
[sound:s8-0655_最低限の準備をしてください。.mp3]	<b>(最低限)</b> <br> 最低限の準備をしてください。<br> さいていげんのじゅんびをしてください。 <br> Please make the minimum necessary preparations.			
[sound:s8-0656_この地域の教育水準が低い。.mp3]	<b>(低水準)</b> <br> この地域の教育水準が低い。<br> このちいきのきょういくすいじゅんがひくい。 <br> The educational level in this area is low.			
[sound:s8-0657_市場は低調な動きを見せています。.mp3]	<b>(低調)</b> <br> 市場は低調な動きを見せています。<br> しじょうはていちょうなうごきをみせています。 <br> The market is showing sluggish movement.			
[sound:s8-0658_低気圧が接近しています。.mp3]	<b>(低気圧)</b> <br> 低気圧が接近しています。<br> ていきあつがせっきんしています。 <br> A low-pressure system is approaching.			
[sound:s8-0659_毎日、運動することは大切です。.mp3]	<b>(毎)</b> <br> 毎日、運動することは大切です。<br> まいにち、うんどうすることはたいせつです。 <br> It's important to exercise every day.			
[sound:s8-0660_毎日同じ時間に起きます。.mp3]	<b>(毎日)</b> <br> 毎日同じ時間に起きます。<br> まいにちおなじじかんにおきます。 <br> I wake up at the same time every day.			
[sound:s8-0661_毎年夏休みに家族で旅行に行きます。.mp3]	<b>(毎年)</b> <br> 毎年夏休みに家族で旅行に行きます。<br> まいとしなつやすみにかぞくでりょこうにいきます。 <br> Every year we go on a family trip during summer vacation.			
[sound:s8-0662_毎週木曜日は図書館に行きます。.mp3]	<b>(毎週)</b> <br> 毎週木曜日は図書館に行きます。<br> まいしゅうもくようびはとしょかんにいきます。 <br> I go to the library every Thursday.			
[sound:s8-0663_毎月給料日は楽しみです。.mp3]	<b>(毎月)</b> <br> 毎月給料日は楽しみです。<br> まいつききゅうりょうびはたのしみです。 <br> Payday every month is something to look forward to.			
[sound:s8-0664_彼は毎回同じ言い訳をします。.mp3]	<b>(毎回)</b> <br> 彼は毎回同じ言い訳をします。<br> かれはまいかいおなじいいわけをします。 <br> He makes the same excuse every time.			
[sound:s8-0665_毎朝ジョギングをしています。.mp3]	<b>(毎朝)</b> <br> 毎朝ジョギングをしています。<br> まいあさジョギングをしています。 <br> I go jogging every morning.			
[sound:s8-0666_毎晩同じ夢を見る。.mp3]	<b>(毎晩)</b> <br> 毎晩同じ夢を見る。<br> まいばんおなじゆめをみる。 <br> I have the same dream every night.			
[sound:s8-0667_毎秒何十ものデータが生成されています。.mp3]	<b>(毎秒)</b> <br> 毎秒何十ものデータが生成されています。<br> まいびょうなんじゅうものデータがせいせいされています。 <br> Dozens of data are generated every second.			
[sound:s8-0668_電車は毎分遅れています。.mp3]	<b>(毎分)</b> <br> 電車は毎分遅れています。<br> でんしゃはまいふんおくれています。 <br> The train is delayed every minute.			
[sound:s8-0669_彼女は毎度同じ服を着ています。.mp3]	<b>(毎度)</b> <br> 彼女は毎度同じ服を着ています。<br> かのじょはまいどおなじふくをきています。 <br> She wears the same clothes every time.			
[sound:s8-0670_医師の助言を聞いてください。.mp3]	<b>(医)</b> <br> 医師の助言を聞いてください。<br> いしのじょげんをきいてください。 <br> Please listen to the doctor's advice.			
[sound:s8-0671_その地域では医療が不足しています。.mp3]	<b>(医療)</b> <br> その地域では医療が不足しています。<br> そのちいきではいりょうがふそくしています。 <br> There is a shortage of medical care in that area.			
[sound:s8-0672_彼は医学の研究者です。.mp3]	<b>(医学)</b> <br> 彼は医学の研究者です。<br> かれはいがくのけんきゅうしゃです。 <br> He is a medical researcher.			
[sound:s8-0673_彼女は将来医師になりたいと思っています。.mp3]	<b>(医師)</b> <br> 彼女は将来医師になりたいと思っています。<br> かのじょはしょうらいいしになりたいとおもっています。 <br> She wants to become a doctor in the future.			
[sound:s8-0674_医薬品は病気に効果があります。.mp3]	<b>(医)</b> <br> 医薬品は病気に効果があります。<br> いやくひんはびょうきにこうかがあります。 <br> Medicine is effective against illnesses.			
[sound:s8-0675_彼は医者になる夢を持っています。.mp3]	<b>(医者)</b> <br> 彼は医者になる夢を持っています。<br> かれはいしゃになるゆめをもっています。 <br> He dreams of becoming a doctor.			
[sound:s8-0676_彼は有名な医大を卒業した。.mp3]	<b>(医大)</b> <br> 彼は有名な医大を卒業した。<br> かれはゆうめいないだいをそつぎょうした。 <br> He graduated from a famous medical university.			
[sound:s8-0677_彼は医科学部の学生です。.mp3]	<b>(医科)</b> <br> 彼は医科学部の学生です。<br> かれはいかがくぶのがくせいです。 <br> He is a student in the medical department.			
[sound:s8-0678_その地域には医院が不足しています。.mp3]	<b>(医院)</b> <br> その地域には医院が不足しています。<br> そのちいきにはいいんがふそくしています。 <br> There is a shortage of clinics in that area.			
[sound:s8-0679_彼は病院の医局に勤めています。.mp3]	<b>(医局)</b> <br> 彼は病院の医局に勤めています。<br> かれはびょういんのいきょくにつとめています。 <br> He works in the medical office of the hospital.			
[sound:s8-0680_彼の快復を願っています。.mp3]	<b>(復)</b> <br> 彼の快復を願っています。<br> かれのかいふくをねがっています。 <br> I hope for his recovery.			
[sound:s8-0681_彼の状態は回復しています。.mp3]	<b>(回復)</b> <br> 彼の状態は回復しています。<br> かれのじょうたいはかいふくしています。 <br> His condition is improving.			
[sound:s8-0682_春は生命の復活の季節です。.mp3]	<b>(復活)</b> <br> 春は生命の復活の季節です。<br> はるはせいめいのふっかつのきせつです。 <br> Spring is the season of renewal of life.			
[sound:s8-0683_彼はプロ野球界に復帰した。.mp3]	<b>(復帰)</b> <br> 彼はプロ野球界に復帰した。<br> かれはプロやきゅうかいにふっきした。 <br> He returned to the professional baseball world.			
[sound:s8-0684_その地域は復興の途中です。.mp3]	<b>(復興)</b> <br> その地域は復興の途中です。<br> そのちいきはふっこうのとちゅうです。 <br> The region is in the process of reconstruction.			
[sound:s8-0685_往復の切符を買いました。.mp3]	<b>(往復)</b> <br> 往復の切符を買いました。<br> おうふくのきっぷをかいました。 <br> I bought a round-trip ticket.			
[sound:s8-0686_彼は古い家具を修復しました。.mp3]	<b>(修復)</b> <br> 彼は古い家具を修復しました。<br> かれはふるいかぐをしゅうふくしました。 <br> He restored the old furniture.			
[sound:s8-0687_彼女は復讐を報復した。.mp3]	<b>(報復)</b> <br> 彼女は復讐を報復した。<br> かのじょはふくしゅうをほうふくした。 <br> She retaliated for revenge.			
[sound:s8-0688_インターネット接続が復旧しました。.mp3]	<b>(復旧)</b> <br> インターネット接続が復旧しました。<br> インターネットせつぞくがふっきゅうしました。 <br> The internet connection has been restored.			
[sound:s8-0689_彼は政治的な復権を目指している。.mp3]	<b>(復権)</b> <br> 彼は政治的な復権を目指している。<br> かれはせいじてきなふっけんをめざしている。 <br> He is aiming for a political comeback.			
[sound:s8-0690_彼の健康は復元された。.mp3]	<b>(復元)</b> <br> 彼の健康は復元された。<br> かれのけんこうはふくげんされた。 <br> His health has been restored.			
[sound:s8-0691_彼の仕事は大変です。.mp3]	<b>(仕)</b> <br> 彼の仕事は大変です。<br> かれのしごとはたいへんです。 <br> His job is tough.			
[sound:s8-0692_私の仕事はコンピュータ関連です。.mp3]	<b>(仕事)</b> <br> 私の仕事はコンピュータ関連です。<br> わたしのしごとはこんぴゅーたかんれんです。 <br> My job is computer-related.			
[sound:s8-0693_その機械の仕組みを理解していますか？.mp3]	<b>(仕組み)</b> <br> その機械の仕組みを理解していますか？<br> そのきかいのしくみをりかいしていますか？ <br> Do you understand how the machine works?			
[sound:s8-0694_仕方がないと諦めた。.mp3]	<b>(仕方)</b> <br> 仕方がないと諦めた。<br> しかたがないとあきらめた。 <br> I gave up because there was no other way.			
[sound:s8-0695_彼は仕掛けが上手です。.mp3]	<b>(仕掛け)</b> <br> 彼は仕掛けが上手です。<br> かれはしかけがじょうずです。 <br> He is good at making things.			
[sound:s8-0696_彼は株式市場の仕手です。.mp3]	<b>(仕手)</b> <br> 彼は株式市場の仕手です。<br> かれはかぶしきしじょうのしてです。 <br> He is a player in the stock market.			
[sound:s8-0697_奉仕活動に参加しています。.mp3]	<b>(奉仕)</b> <br> 奉仕活動に参加しています。<br> ほうしさつどうにさんかしています。 <br> I participate in volunteer activities.			
[sound:s8-0698_その製品の仕様が変更されました。.mp3]	<b>(仕様)</b> <br> その製品の仕様が変更されました。<br> そのせいひんのしようがへんこうされました。 <br> The specifications of the product have been changed.			
[sound:s8-0699_彼は毎週果物を仕入れます。.mp3]	<b>(仕入れ)</b> <br> 彼は毎週果物を仕入れます。<br> かれはまいしゅうくだものをしいれます。 <br> He buys fruits every week.			
[sound:s8-0700_プロジェクトの仕上げが間近です。.mp3]	<b>(仕上げ)</b> <br> プロジェクトの仕上げが間近です。<br> ぷろじぇくとのしあげがまぢかです。 <br> The completion of the project is near.			
[sound:s8-0701_その料理の仕上がりは素晴らしい。.mp3]	<b>(仕上がり)</b> <br> その料理の仕上がりは素晴らしい。<br> そのりょうりのしあがりはすばらしい。 <br> The finished dish looks amazing.			
[sound:s8-0702_昨日、彼女は東京を去った。.mp3]	<b>(去)</b> <br> 昨日、彼女は東京を去った。<br> きのう、かのじょはとうきょうをさった。 <br> She left Tokyo yesterday.			
[sound:s8-0703_過去の出来事を忘れないでください。.mp3]	<b>(過去)</b> <br> 過去の出来事を忘れないでください。<br> かこのできごとをわすれないでください。 <br> Please don't forget past events.			
[sound:s8-0704_彼の死去は世界中で悲しみを引き起こした。.mp3]	<b>(死去)</b> <br> 彼の死去は世界中で悲しみを引き起こした。<br> かれのしきょはせかいじゅうでかなしみをひきおこした。 <br> His death caused sadness all over the world.			
[sound:s8-0705_古い建物の撤去が始まった。.mp3]	<b>(撤去)</b> <br> 古い建物の撤去が始まった。<br> ふるいたてもののてっきょがはじまった。 <br> The demolition of the old building has started.			
[sound:s8-0706_有害物質を除去する方法を探しています。.mp3]	<b>(除去)</b> <br> 有害物質を除去する方法を探しています。<br> ゆうがいぶっしつをじょきょするほうほうをさがしています。 <br> We are looking for ways to remove harmful substances.			
[sound:s8-0707_去年の夏はとても暑かった。.mp3]	<b>(去年)</b> <br> 去年の夏はとても暑かった。<br> きょねんのなつはとてもあつかった。 <br> Last summer was very hot.			
[sound:s8-0708_退去の手続きを行ってください。.mp3]	<b>(退去)</b> <br> 退去の手続きを行ってください。<br> たいきょのてつづきをおこなってください。 <br> Please proceed with the departure procedures.			
[sound:s8-0709_彼女は子犬を置き去りにしてきた。.mp3]	<b>(置き去り)</b> <br> 彼女は子犬を置き去りにしてきた。<br> かのじょはこいぬをおきざりにしてきた。 <br> She abandoned the puppy.			
[sound:s8-0710_彼の去就は不明だ。.mp3]	<b>(去就)</b> <br> 彼の去就は不明だ。<br> かれのきょしゅうはふめいだ。 <br> His whereabouts are unknown.			
[sound:s8-0711_彼は去る日本の大統領だった。.mp3]	<b>(去る)</b> <br> 彼は去る日本の大統領だった。<br> かれはさるにほんのだいとうりょうだった。 <br> He was the former president of Japan.			
[sound:s8-0712_彼女は子供を連れ去りました。.mp3]	<b>(連れ去る)</b> <br> 彼女は子供を連れ去りました。<br> かのじょはこどもをつれさりました。 <br> She took the child away.			
[sound:s8-0713_彼の姿が見えません。.mp3]	<b>(姿)</b> <br> 彼の姿が見えません。<br> かれのすがたがみえません。 <br> I can't see him.			
[sound:s8-0714_彼の姿勢は正直です。.mp3]	<b>(姿勢)</b> <br> 彼の姿勢は正直です。<br> かれのしせいはしょうじきです。 <br> His attitude is honest.			
[sound:s8-0715_彼女の後ろ姿が美しい。.mp3]	<b>(後ろ姿)</b> <br> 彼女の後ろ姿が美しい。<br> かのじょのうしろすがたがうつくしい。 <br> Her back view is beautiful.			
[sound:s8-0716_彼女の容姿は非常に魅力的です。.mp3]	<b>(容姿)</b> <br> 彼女の容姿は非常に魅力的です。<br> かのじょのようしはひじょうにみりょくてきです。 <br> Her appearance is very attractive.			
[sound:s8-0717_彼は舞台に雄姿を見せた。.mp3]	<b>(雄姿)</b> <br> 彼は舞台に雄姿を見せた。<br> かれはぶたいにゆうしをみせた。 <br> He displayed his magnificent figure on the stage.			
[sound:s8-0718_彼の低姿勢が彼女を驚かせた。.mp3]	<b>(低姿勢)</b> <br> 彼の低姿勢が彼女を驚かせた。<br> かれのていしせいがかのじょをおどろかせた。 <br> His humility surprised her.			
[sound:s8-0719_彼女は晴れ姿でその場を去った。.mp3]	<b>(晴れ姿)</b> <br> 彼女は晴れ姿でその場を去った。<br> かのじょははれすがたでそのばをさった。 <br> She left the scene in a cheerful manner.			
[sound:s8-0720_彼女はあで姿でパーティーに現れた。.mp3]	<b>(あで姿)</b> <br> 彼女はあで姿でパーティーに現れた。<br> かのじょはあですがたでパーティーにあらわれた。 <br> She appeared at the party in a gorgeous outfit.			
[sound:s8-0721_彼の姿は木の陰に隠れていた。.mp3]	<b>(姿をあらわす)</b> <br> 彼の姿は木の陰に隠れていた。<br> かれのすがたはきのかげにかくれていた。 <br> His figure was hidden in the shadow of the tree.			
[sound:s8-0722_彼はパジャマ姿で部屋を歩き回った。.mp3]	<b>(パジャマ姿)</b> <br> 彼はパジャマ姿で部屋を歩き回った。<br> かれはパジャマすがたでへやをあるきまわった。 <br> He walked around the room in his pajamas.			
[sound:s8-0723_この料理の味は最高です。.mp3]	<b>(味)</b> <br> この料理の味は最高です。<br> このりょうりのあじはさいこうです。 <br> The taste of this dish is excellent.			
[sound:s8-0724_その言葉の意味を教えてください。.mp3]	<b>(意味)</b> <br> その言葉の意味を教えてください。<br> そのことばのいみをおしえてください。 <br> Please tell me the meaning of that word.			
[sound:s8-0725_私は歴史に興味があります。.mp3]	<b>(興味)</b> <br> 私は歴史に興味があります。<br> わたしはれきしにきょうみがあります。 <br> I am interested in history.			
[sound:s8-0726_彼の趣味はギターを弾くことです。.mp3]	<b>(趣味)</b> <br> 彼の趣味はギターを弾くことです。<br> かれのしゅみはギターをひくことです。 <br> His hobby is playing the guitar.			
[sound:s8-0727_このワインの味わいは豊かです。.mp3]	<b>(味わい)</b> <br> このワインの味わいは豊かです。<br> このワインのあじわいはゆたかです。 <br> This wine has a rich flavor.			
[sound:s8-0728_彼女は怖い気味だった。.mp3]	<b>(気味)</b> <br> 彼女は怖い気味だった。<br> かのじょはこわいきみだった。 <br> She felt a little scared.			
[sound:s8-0729_そのアーティストの持ち味は独特です。.mp3]	<b>(持ち味)</b> <br> そのアーティストの持ち味は独特です。<br> そのアーティストのもちあじはどくとくです。 <br> The artist's unique quality is remarkable.			
[sound:s8-0730_彼女は地味な服を好む。.mp3]	<b>(地味)</b> <br> 彼女は地味な服を好む。<br> かのじょはじみなふくをこのむ。 <br> She prefers plain clothes.			
[sound:s8-0731_彼女はいつも私の味方です。.mp3]	<b>(味方)</b> <br> 彼女はいつも私の味方です。<br> かのじょはいつもわたしのみかたです。 <br> She is always on my side.			
[sound:s8-0732_その発言の意味合いを考えてみてください。.mp3]	<b>(意味合い)</b> <br> その発言の意味合いを考えてみてください。<br> そのはつげんのいみあいをかんがえてみてください。 <br> Please consider the implications of that statement.			
[sound:s8-0733_彼は負けました。.mp3]	<b>(負)</b> <br> 彼は負けました。<br> かれはまけました。 <br> He lost.			
[sound:s8-0734_彼は負けを認めた。.mp3]	<b>(負け)</b> <br> 彼は負けを認めた。<br> かれはまけをみとめた。 <br> He admitted defeat.			
[sound:s8-0735_その任務は彼に大きな負担を与えた。.mp3]	<b>(負担)</b> <br> その任務は彼に大きな負担を与えた。<br> そのにんむはかれにおおきなふたんをあたえた。 <br> The task placed a heavy burden on him.			
[sound:s8-0736_私たちは最後の勝負に勝ちました。.mp3]	<b>(勝負)</b> <br> 私たちは最後の勝負に勝ちました。<br> わたしたちはさいごのしょうぶにかちました。 <br> We won the final match.			
[sound:s8-0737_彼は多額の負債を抱えている。.mp3]	<b>(負債)</b> <br> 彼は多額の負債を抱えている。<br> かれはたがくのふさいをかかえている。 <br> He is burdened with a large amount of debt.			
[sound:s8-0738_彼は責任を負いました。.mp3]	<b>(負)</b> <br> 彼は責任を負いました。<br> かれはせきにんをおいました。 <br> He took responsibility.			
[sound:s8-0739_彼はその失敗を負うつもりだ。.mp3]	<b>(負う)</b> <br> 彼はその失敗を負うつもりだ。<br> かれはそのしっぱいをおうつもりだ。 <br> He intends to take responsibility for the failure.			
[sound:s8-0740_彼は未来の夢を抱負している。.mp3]	<b>(抱負)</b> <br> 彼は未来の夢を抱負している。<br> かれはみらいのゆめをほうふしている。 <br> He harbors dreams for the future.			
[sound:s8-0741_彼は負傷して病院に運ばれた。.mp3]	<b>(負傷)</b> <br> 彼は負傷して病院に運ばれた。<br> かれはふしょうしてびょういんにはこばれた。 <br> He was injured and taken to the hospital.			
[sound:s8-0742_彼は負い目を感じていた。.mp3]	<b>(負い目)</b> <br> 彼は負い目を感じていた。<br> かれはおいめをかんじていた。 <br> He felt guilty.			
[sound:s8-0743_彼は自負心が強い。.mp3]	<b>(自負)</b> <br> 彼は自負心が強い。<br> かれはじふしんがつよい。 <br> He has a strong sense of self-esteem.			
[sound:s8-0744_彼は内閣の一員です。.mp3]	<b>(閣)</b> <br> 彼は内閣の一員です。<br> かれはないかくのいちいんです。 <br> He is a member of the cabinet.			
[sound:s8-0745_閣僚は政府の要職を担います。.mp3]	<b>(閣僚)</b> <br> 閣僚は政府の要職を担います。<br> かくりょうはせいふのようしょくをにないます。 <br> Cabinet ministers hold key positions in the government.			
[sound:s8-0746_新しい内閣が発足しました。.mp3]	<b>(内閣)</b> <br> 新しい内閣が発足しました。<br> あたらしいないかくがほっそくしました。 <br> A new cabinet has been formed.			
[sound:s8-0747_閣議でその案が承認された。.mp3]	<b>(閣議)</b> <br> 閣議でその案が承認された。<br> かくぎでそのあんがしょうにんされた。 <br> The proposal was approved at the cabinet meeting.			
[sound:s8-0748_新しい内閣が組閣された。.mp3]	<b>(組閣)</b> <br> 新しい内閣が組閣された。<br> あたらしいないかくがそかくされた。 <br> A new cabinet has been formed.			
[sound:s8-0749_彼は内閣に入閣することになった。.mp3]	<b>(入閣)</b> <br> 彼は内閣に入閣することになった。<br> かれはないかくににゅうかくすることになった。 <br> He is going to join the cabinet.			
[sound:s8-0750_彼女は首相の影の内閣だと噂されている。.mp3]	<b>(影の内閣)</b> <br> 彼女は首相の影の内閣だと噂されている。<br> かのじょはしゅしょうのかげのないかくだとうわさされている。 <br> She is rumored to be the shadow cabinet of the Prime Minister.			
[sound:s8-0751_内閣法制局は法律に関する情報を提供します。.mp3]	<b>(内閣法制局)</b> <br> 内閣法制局は法律に関する情報を提供します。<br> ないかくほうせいきょくはほうりつにかんするじょうほうをていきょうします。 <br> The Cabinet Legislation Bureau provides information on legal matters.			
[sound:s8-0752_閣内では様々な意見が出された。.mp3]	<b>(閣内)</b> <br> 閣内では様々な意見が出された。<br> かくないではさまざまないけんがだされた。 <br> Various opinions were expressed within the cabinet.			
[sound:s8-0753_内閣官房が声明を発表した。.mp3]	<b>(内閣官房)</b> <br> 内閣官房が声明を発表した。<br> ないかくかんぼうがせいめいをはっぴょうした。 <br> The Cabinet Secretariat issued a statement.			
[sound:s8-0754_その楼閣は古風なデザインをしている。.mp3]	<b>(楼閣)</b> <br> その楼閣は古風なデザインをしている。<br> そのろうかくはこふうなデザインをしている。 <br> The building has an old-fashioned design.			
[sound:s8-0755_彼は韓国出身です。.mp3]	<b>(韓)</b> <br> 彼は韓国出身です。<br> かれはかんこくしゅっしんです。 <br> He is from Korea.			
[sound:s8-0756_韓国はアジアの国です。.mp3]	<b>(韓国)</b> <br> 韓国はアジアの国です。<br> かんこくはアジアのくにです。 <br> Korea is a country in Asia.			
[sound:s8-0757_日韓関係が改善されました。.mp3]	<b>(日韓)</b> <br> 日韓関係が改善されました。<br> にっかんかんけいがかいぜんされました。 <br> Relations between Japan and Korea have improved.			
[sound:s8-0758_大韓民国の首都はソウルです。.mp3]	<b>(大韓民国)</b> <br> 大韓民国の首都はソウルです。<br> だいかんみんこくのしゅとはソウルです。 <br> The capital of South Korea is Seoul.			
[sound:s8-0759_私は韓国語を勉強しています。.mp3]	<b>(韓国語)</b> <br> 私は韓国語を勉強しています。<br> わたしはかんこくごをべんきょうしています。 <br> I am studying Korean.			
[sound:s8-0760_私の友達は韓国人です。.mp3]	<b>(韓国人)</b> <br> 私の友達は韓国人です。<br> わたしのともだちはかんこくじんです。 <br> My friend is Korean.			
[sound:s8-0761_韓人は純朴な人々です。.mp3]	<b>(韓人)</b> <br> 韓人は純朴な人々です。<br> かんじんはじゅんぼくなひとびとです。 <br> Koreans are sincere people.			
[sound:s8-0762_在韓米軍の駐留期間が延長された。.mp3]	<b>(在韓米軍)</b> <br> 在韓米軍の駐留期間が延長された。<br> ざいかんべいぐんのちゅうりゅうきかんがえんちょうされた。 <br> The deployment period of the US forces in Korea has been extended.			
[sound:s8-0763_三韓時代は朝鮮半島の歴史の一部です。.mp3]	<b>(三韓)</b> <br> 三韓時代は朝鮮半島の歴史の一部です。<br> さんかんじだいはちょうせんはんとうのれきしのいちぶです。 <br> The Three Kingdoms period is part of the history of the Korean Peninsula.			
[sound:s8-0764_新韓国党が大統領選で勝利した。.mp3]	<b>(新韓国党)</b> <br> 新韓国党が大統領選で勝利した。<br> しんかんこくとうがだいとうりょうせんでしょうりした。 <br> The New Korea Party won the presidential election.			
[sound:s8-0765_大韓航空は韓国の国営航空会社です。.mp3]	<b>(大韓航空)</b> <br> 大韓航空は韓国の国営航空会社です。<br> だいかんこうくうはかんこくのこくえいこうくうがいしゃです。 <br> Korean Air is the national airline of Korea.			
[sound:s8-0766_川を渡るのは危険です。.mp3]	<b>(渡)</b> <br> 川を渡るのは危険です。<br> かわをわたるのはきけんです。 <br> It's dangerous to cross the river.			
[sound:s8-0767_彼は土地の所有権を譲渡した。.mp3]	<b>(譲渡)</b> <br> 彼は土地の所有権を譲渡した。<br> かれはとちのしょゆうけんをじょうとした。 <br> He transferred ownership of the land.			
[sound:s8-0768_彼は私に手紙を渡した。.mp3]	<b>(渡す)</b> <br> 彼は私に手紙を渡した。<br> かれはわたしにてがみをわたした。 <br> He handed me the letter.			
[sound:s8-0769_裁判官は有罪判決を言い渡した。.mp3]	<b>(言い渡す)</b> <br> 裁判官は有罪判決を言い渡した。<br> さいばんかんはゆうざいはんけつをいいわたした。 <br> The judge delivered a guilty verdict.			
[sound:s8-0770_渡航予定を変更する必要がありますか？.mp3]	<b>(渡航)</b> <br> 渡航予定を変更する必要がありますか？<br> とこうよていをへんこうするひつようがありますか？ <br> Do we need to change our travel plans?			
[sound:s8-0771_彼は逮捕され、他の国に引き渡された。.mp3]	<b>(引き渡し)</b> <br> 彼は逮捕され、他の国に引き渡された。<br> かれはたいほされ、ほかのくににひきわたされた。 <br> He was arrested and extradited to another country.			
[sound:s8-0772_渡り鳥が南へ渡ります。.mp3]	<b>(渡り)</b> <br> 渡り鳥が南へ渡ります。<br> わたりどりがみなみへわたります。 <br> Migratory birds fly south.			
[sound:s8-0773_彼は交渉の橋渡しをした。.mp3]	<b>(橋渡し)</b> <br> 彼は交渉の橋渡しをした。<br> かれはこうしょうのはしわたしをした。 <br> He mediated the negotiation.			
[sound:s8-0774_彼はお金を渡した。.mp3]	<b>(渡し)</b> <br> 彼はお金を渡した。<br> かれはおかねをわたした。 <br> He handed over the money.			
[sound:s8-0775_その国は民主主義への移行期を迎えている。.mp3]	<b>(過渡期)</b> <br> その国は民主主義への移行期を迎えている。<br> そのくにはみんしゅしゅぎへのいこうきをむかえている。 <br> The country is undergoing a transition period to democracy.			
[sound:s8-0776_彼は私に手紙を手渡した。.mp3]	<b>(手渡す)</b> <br> 彼は私に手紙を手渡した。<br> かれはわたしにてがみをてわたした。 <br> He handed me the letter.			
[sound:s8-0777_彼は大きな失敗をした。.mp3]	<b>(失)</b> <br> 彼は大きな失敗をした。<br> かれはおおきなしっぱいをした。 <br> He made a big mistake.			
[sound:s8-0778_彼女は重要な機会を失った。.mp3]	<b>(失う)</b> <br> 彼女は重要な機会を失った。<br> かのじょはじゅうようなきかいをうしなった。 <br> She lost an important opportunity.			
[sound:s8-0779_彼は失業したが、再就職した。.mp3]	<b>(失業)</b> <br> 彼は失業したが、再就職した。<br> かれはしつぎょうしたが、さいしゅうしょくした。 <br> He lost his job but found another one.			
[sound:s8-0780_その会社は大きな損失を出した。.mp3]	<b>(損失)</b> <br> その会社は大きな損失を出した。<br> そのかいしゃはおおきなそんしつをだした。 <br> The company suffered a huge loss.			
[sound:s8-0781_チームは1点を失った。.mp3]	<b>(失点)</b> <br> チームは1点を失った。<br> チームは1てんをうしなった。 <br> The team conceded one point.			
[sound:s8-0782_彼は失敗から学びました。.mp3]	<b>(失敗)</b> <br> 彼は失敗から学びました。<br> かれはしっぱいからまなびました。 <br> He learned from his failure.			
[sound:s8-0783_事故は彼の過失だった。.mp3]	<b>(過失)</b> <br> 事故は彼の過失だった。<br> じこはかれのかしつだった。 <br> The accident was his fault.			
[sound:s8-0784_彼は失策を犯した。.mp3]	<b>(失策)</b> <br> 彼は失策を犯した。<br> かれはしっさくをおかした。 <br> He made a blunder.			
[sound:s8-0785_彼女は彼の行動に失望した。.mp3]	<b>(失望)</b> <br> 彼女は彼の行動に失望した。<br> かのじょはかれのこうどうにしつぼうした。 <br> She was disappointed by his actions.			
[sound:s8-0786_そのエラーはチームにとっての敵失だった。.mp3]	<b>(敵失)</b> <br> そのエラーはチームにとっての敵失だった。<br> そのエラーはチームにとってのてきしつだった。 <br> The error was a costly mistake for the team.			
[sound:s8-0787_彼女は彼の死による喪失を悲しんだ。.mp3]	<b>(喪失)</b> <br> 彼女は彼の死による喪失を悲しんだ。<br> かのじょはかれのしによるそうしつをかなしんだ。 <br> She mourned the loss due to his death.			
[sound:s8-0788_彼らは新しい場所に移りました。.mp3]	<b>(移)</b> <br> 彼らは新しい場所に移りました。<br> かれらはあたらしいばしょにうつりました。 <br> They moved to a new place.			
[sound:s8-0789_その植物を他の場所に移植しました。.mp3]	<b>(移植)</b> <br> その植物を他の場所に移植しました。<br> そのしょくぶつをほかのばしょにいしょくしました。 <br> They transplanted the plant to another location.			
[sound:s8-0790_その国は民主主義への移行を進めている。.mp3]	<b>(移行)</b> <br> その国は民主主義への移行を進めている。<br> そのくにはみんしゅしゅぎへのいこうをすすめている。 <br> The country is progressing in its transition to democracy.			
